,날짜,기사제목,본문내용
0,2021-03-11,"삼성 네오 QLED, 독일 VDE '아이 케어' 인증 획득…""TV업계 ...",아시아경제 정현진 기자 삼성전자가 업계 최초로 네오 를 포함한 년형 제품을 대상으로 독일 인증 기관 의 시청 관련 아이 케어 인증을 받았다고 일 밝혔다 의 아이 케어 인증은 눈에 대한 안전 인증 멜라토닌 인증 화면 깜빡임 무해성 인증 화질 균일도 인증 색 정확도 인증 등의 항목으로 구성된 시청 안전 평가 지표다 눈에 대한 안전 인증은 국제전기기술위원회 가 규정한 조명의 유해성 등급 분류 방법에 따라 블루라이트 자외선 적외선의 방출량을 측정해 인체 유해 수준이 무해 등급일 때 부여한다 멜라토닌 인증은 기기에서 나오는 빛의 멜라토닌 억제 수치가 의 기준을 충족해야 받을 수 있다 또 는 눈의 피로감이나 두통에 영향을 미칠 수 있는 화면 깜빡임의 수준이 국제전기기술위원회에서 정한 기준을 충족했으며 콘텐츠 시청 시 얼마나 눈이 편안한 지 평가하는 화질 균일도와 색 정확도 항목에서도 우수성을 인정받았다고 삼성전자는 설명했다 삼성전자 영상디스플레이사업부 최용훈 부사장은 삼성 는 화질과 사용성은 물론 소비자들의 시청 안전성을 고려한 제품 이라며 업계 리더로서 앞으로도 스크린 포 올 비전 실현을 위해 소비자 중심의 제품 개발을 해 나갈 것 이라고 말했다 정현진 기자
1,2021-03-11,삼성전자 반도체 연간 생산 1조개 첫 돌파…D램 개발 37년만,머니투데이 심재현 기자 년 월 램 세계 최초 개발 당시 삼성전자의 신문광고 당시 대한제국의 태극기를 실어 눈길을 끌었다 사진제공 삼성전자 삼성전자가 년 동안 생산한 메모리반도체가 처음으로 조개를 넘어섰다 삼성전자가 년 램을 처음 생산한 이후 년만이다 일 삼성전자가 금융감독원에 제출한 년도 사업보고서에 따르면 지난해 생산한 메모리반도체가 기가비트 기준으로 환산해 조 억개로 집계됐다 지난해 생산실적은 년 억개 보다 늘었다 년 전인 년 연간 생산량 억개 의 배다 생산실적 급증의 배경으로는 가전 자동차 등 업계 전반의 반도체 수요 폭발이 지목된다 특히 코로나 팬데믹 세계적 대유행 장기화로 비대면 수요가 늘면서 최근에는 스마트폰용 애플리케이션 프로세서 공급이 부족할 정도로 시장 수요가 확대됐다 반도체 칩 차제의 메모리 용량이 과거와는 비교할 수 없을 정도로 빠르게 늘어난 점도 원인으로 꼽힌다 특히 인공지능 세대 이동통신 등 일상생활을 파고든 첨단기술이 메모리 용량 확대를 이끌고 있다 앞으로 생산실적은 자율주행 등 새로운 기술 등장과 맞물려 더 가파른 성장세를 보일 전망이다 삼성전자는 지난해 시설투자에 조 억원 연구개발에 조 억원을 쏟아부은 데 이어 올해도 지난해 수준의 투자를 이어갈 것으로 예상된다 삼성전자는 사업보고서에서 올 하반기 더 선진화된 나노 나노미터는 억분의 반도체 양산을 시작하겠다고 밝혔다 대만의 와의 파운드리 반도체 위탁생산 공정 경쟁에서 승기를 잡기 위해 지난해 하반기 양산을 시작한 나노미터급 반도체를 더욱 개선한 신제품을 내놓는다는 목표다 심재현 기자
2,2021-03-11,"포스코, 예상보다 강한 철강 상승세…목표가 14%↑-삼성",이데일리 유준하 기자 삼성증권은 일 포스코 에 대해 타이트한 수급에 기반해 철강가격의 우호적 흐름이 지속되고 있다며 투자의견은 매수 를 유지하고 목표주가는 종전 만원에서 만원으로 만원 올려 잡았다 타이트한 수급에 기반한 철강 가격 상승이 동사의 우호적 환경으로 꼽힌다 백재승 삼성증권 연구원은 미국과 유럽 철강 가동률이 여전히 코로나 수준을 회복하지 못하고 있지만 자동차 판매량으로 대변되는 수요 회복은 빠르게 진행되고 있다 고 설명했다 또한 중국 양회에서 제시된 올해 재정 적자율 목표치가 및 특수목적 채권 발행액 규모 조 억 위안 등은 중국 철강 수요가 완만하게나마 견고한 흐름을 유지할 수 있다는 가능성을 제시한다고 짚었다 그는 이에 따라 춘절 연휴 직전 코로나 재확산 및 비우호적인 날씨로 인해 하락했던 중국 철강 가격은 다시 상승세로 전환됐다 고 말했다 나아가 지난해 말 중국 정부가 공언한 올해 철강 생산량 감출 목표가 최근 철강 기업들의 생산량 목표에 스며들고 있다는 점도 긍정적이다 올해 분기까지 철강 유통물량 확보가 쉽지 않다는 점이 부각되고 있으며 최소한 올해 상반기까지는 철강 가격의 우호적 흐름이 지속될 전망이다 백 연구원은 현재 철강 가격은 완만한 상승이 아닌 급등세를 보이며 미국과 유럽에서의 철강 가동률 회복이 본격화될 경우 가격 조정이 나타날 수 있다 면서도 그 기본 전제는 코로나 완화이며 이에 기반한 실질 수요 증가가 본격화될 수 있어 설사 조정이 나타나더라도 그 기간 및 폭이 크지 않을 수 있으며 조정 국면에 있는 강점탄 가격 흐름을 감안하면 가격 조정시에도 스프레드 훼손이 크지 않을 수 있음에 주목한다 고 설명했다 한편 삼성증권이 예상한 올해 포스코의 매출액 영업이익은 조 억원 조 억원으로 지난해 대비 증가한 수치다 유준하
3,2021-03-11,"[1일IT템] 지는 피처폰 시장, 삼성의 '큰 그림'",출처 샘모바일 파이낸셜뉴스 전 세계 신흥시장에서 피처폰이 지위를 잃어가면서 이를 판매하고 있는 삼성전자가 타격을 입을 수 있다는 지적이 나올 수 있지만 오히려 삼성에는 호재로 작용할 것으로 보인다 일 미국 정보기술 전문매체 샘모바일은 삼성은 피처폰 부문에서 지위를 잃어 가고 있으며 년 분기에 전분기 대비 의 글로벌 시장 점유율을 잃었다고 보도했다 샘모바일에 따르면 신흥 시장에서도 이제 스마트폰이 유행하기 시작했다 샘모바일은 피처폰이 단계적으로 폐지되는 것은 시간 문제 일 뿐 이라며 그런데 삼성은 이에 만족하는 것으로 보인다 며 의문을 제기했다 삼성에게 피처폰 시장은 스마트폰 부문에 비해 매출 측면에서 거의 의미가 없는 수준이다 삼성은 전분기 에서 하락한 의 글로벌 피처폰 시장 점유율 출하량 기준 을 기록했다 년 분기 삼성은 전 세계에서 네 번째로 큰 피처폰 공급 업체였다 인도는 년 분기 삼성의 가장 큰 피처폰 시장이었다 글로벌 시장조사업체 카운터포인트 리서치에 따르면 년 분기 삼성의 가장 큰 피처 폰 시장은 인도였다 인도에서는 의 점유율로 피처폰 시장 위에 올랐다 삼성이 인도 시장에서 피처폰 공급을 적극적으로 펼치는 것은 결국 스마트폰 시장 선점을 위한 포석이라는 분석이다 샘모바일은 대부분의 경우 삼성은 결국 스마트폰 소유자가 될 고객의 브랜드 인지도를 유지하기 위해 피처폰을 판매하고 있다 라며 대부분의 시장에서 이를 실행 한 것으로 보인다 라고 진단했다 한편 인도는 삼성이 스마트폰 출하량을 대폭 늘릴 수 있는 잠재력을 가지고 있는 큰 시장이다 지난해 하반기에만 인도에서 출하량이 억 대를 넘어서는 등 판매량이 호조세를 보이고 있다 출처 카운터포인트리서치 삼성전자 샘모바일 피처폰 신흥시장 인도스마트폰 카운터포인트리서치 김아름 기자
4,2021-03-11,"장지상 “TSMC은 생산기술에 특화된 기업, 설계력 갖춘 삼성전자가 한...",세계 위 파운드리 생산기술력이 좋은 기업 삼성전자 칩설계 파운드리 휴대폰까지 경쟁력 갖춰 애플 공급물량과 노광장비 확보해야 장지상 산업연구원장은 최근 반도체 부족현상으로 대만의 시스템 반도체 업체인 의 영향력이 부각되는 것에 대해 반도체 칩을 주문받은 사양대로 만들어 줄 수 있는 생산기술 뿐만아니라 반도체 칩을 설계할 수 있는 능력까지 갖추고 있는 삼성전자가 한수 위 라는 평가를 내렸다 장지상 원장은 지난 일 조선비즈와의 인터뷰에서 반도체는 미세화 기술 뿐만 아니라 생산도 굉장히 중요한 경쟁력이 될 수 있다 면서 그런 측면에서 대만 는 주문자가 요구하는 사양을 갖춘 반도체 칩을 대량생산할 수 있는 능력을 갖춘 생산기술에 특화된 기업이지만 램 낸드 등을 대량 공급하는 동시에 반도체 칩 설계력도 갖추고 있는 삼성전자와는 분명히 차이가 있다 고 말했다 장지상 산업연구원장이 지난 일 조선비즈와의 인터뷰에서 코로나 이후의 산업재편에 대해 설명하고 있다 김지호 기자 파운드리 반도체 위탁생산 세계 위 기업인 대만의 는 추격자 삼성전자를 따돌리기 위해 나노 칩 생산을 올해 연말까지 연초대비 약 확대키로 했다 반면 나노 공정에서 밀린 삼성전자는 내년 나노에서 승부를 건다는 전략이다 양과 질의 대결로 볼 수 있는 것이다 다만 의 나노 공정개발 속도가 예상보다 빨라 격차를 좁히는 것은 변수가 될 수 있다 최근 는 나노 공정 라인에 기존 월 만장이 투입되던 웨이퍼 규모를 만 장까지 늘리기로 한데 이어 하반기까지 월 만장 년까지는 매달 만장의 생산능력을 추가로 확보할 계획이다 이를 위해 는 최근 대만 타이난 나노 공장에 여명의 엔지니어를 파견하는 등 나노 칩 양산 극대화에 집중하고 있다 삼성전자도 에 이어 나노 양산에 가세하며 나노 이하 공정 경쟁에 불이 붙었다 아직 나노급 반도체를 만들 수 있는 업체는 와 삼성전자 개사뿐이다 삼성전자는 평택 공장에 구축하는 나노 파운드리 라인의 생산능력을 기존 만 장에서 만 장까지 올려 잡은 것으로 알려졌다 삼성전자는 나노 출발이 상대적으로 늦은 만큼 향후 나노 공정에서 초격차를 노릴 작정이다 삼성전자는 년까지 나노 양산을 하겠다고 발표한 바 있다 장 원장은 그간 삼성전자 등 국내 반도체 기업들이 메모리 반도체 시장에서는 의 점유율을 갖고 있지만 시스템 반도체나 파운드리 시장에서는 성장할 가능성이 무궁무진하다 며 생산기술은 삼성전자도 빠르게 따라갈 수 있다 단 삼성전자는 이미 휴대폰에 들어가는 나 인공지능 반도체까지 설계할 기술을 가지고 있기 때문에 충분한 경쟁력을 가지고 있다고 판단된다 고 했다 장 원장은 아이폰 등 애플의 칩주문 거래와 극자외선 노광장비 수급은 변수가 될 수 있다고 지적했다 장 원장은 삼성전자는 칩을 설계하고 생산하며 휴대폰 제품까지 판매한다 어찌보면 애플 입장에서는 아이폰과 경쟁하는 갤럭시를 만든 삼성전자에게 칩 주문을 할 수 없는 일이고 그래서 에 물량을 줄 수 밖에 없다 고 설명했다 이어 예를 들어 인텔의 경쟁자인 의 경우 삼성전자에 물량을 준다 면서 노광기 장비의 경우 네덜란드 이 유일하게 만드는 기업인데 충분한 물량을 확보해야만 차세대 반도체 공정으로 진입할 수 있다 고 했다 장비는 대당 억원이 넘는 고가지만 파운드리와 메모리 분야에서 활용도가 높아 공급이 부족한 상태다 이재용 삼성전자 부회장은 지난해 월 네덜란드 반도체 장비업체인 의 경영진과 회동을 갖고 노광장비 공급을 논의하기도 했다 또 지난해 월에는 피터 버닝크 최고경영자 등 경영진이 한국을 찾기도 했다 이들은 성윤모 산업통상자원부 장관과 삼성전자 하이닉스의 주요 인사들과 만나 장비 관련 논의를 했다 세종 박성우 기자
5,2021-03-11,대구 인구 넘은 `삼성 동학개미`…전자계열 4社 `259만명`,삼성전자 전기 등 만 만명 배 삼성 작년 분기만 부천 인구 맞먹는 만명 늘어 정책 입김 쎄졌지만 보유비율은 안팎 증가에 그쳐 이데일리 양희동 기자 코로나 사태로 인해 지난해 월 코스피지수가 선까지 급락하며 촉발된 동학개미운동 으로 국내 시가총액 위 삼성전자 와 삼성 삼성전기 삼성 등 삼성그룹 전자 계열사 곳의 소액주주 수가 대구광역시 인구보다 많은 약 만명에 달하는 것으로 나타났다 이는 년 말과 비교해 배 이상 늘어난 수치로 우리 증시로 유입된 동학개미의 규모가 실제 숫자로 입증된 것이다 국민주인 삼성전자가 무려 만명이었고 국내 바이오 배터리 인터넷 게임 종목의 한축을 담당한 삼성 가 만명 적층세라믹콘덴서 카메라 모듈 등으로 유명한 삼성전기가 만명 삼성의 대표 기업인 삼성 가 만명 등 전자 계열사 곳도 만명에 달했다 이데일리 김정훈 기자 일 삼성전자 삼성 삼성전기 삼성 등의 년 사업보고서에 따르면 삼성전자의 년 말 기준 소액주주수는 만 명으로 전년 만 명 대비 만 명 늘었다 이어 같은기간 삼성 는 만 명에서 만 명 삼성전기는 만 명에서 만 명 삼성 는 만 명에서 만 명 등으로 각각 증가했다 이들 삼성전자 및 계열사 등 개사의 소액주주만 총 만 명으로 전년 만 명 대비 만 명 나 급증한 것이다 이는 삼성그룹이 태동한 지역인 대구광역시 인구 만 명 올 월 기준 를 넘어서는 규모다 삼성전자의 소액주주 증가 추세를 지난해 분기별로 살펴보면 코로나 국내 첫 확진자가 나온 월부터 코스피지수가 대로 추락했던 월까지 분기에 만 명으로 전분기 만 명 대비 만 명이 늘었다 불과 석 달 새 경기 부천시 인구 만 명 와 맞먹는 규모의 개인투자자가 유입 소액주주 수가 두 배 이상 급증한 것이다 이 시기 삼성전자 주가는 년 말 만 원에서 그해 월 일 만 원 장중 최저점 으로 급락했지만 년 외환위기와 년 글로벌 금융위기 등을 거치며 경험한 증시의 자 반등과 개인투자자들의 단기적인 고수익 추구 성향이 맞물린 결과로 풀이된다 이후 분기에는 주가가 코로나 이전 수준을 회복하며 소액주주도 만 명 증가에 그쳤지만 하반기엔 주가가 만 원 만 원 나 급등하며 주주도 분기 만 명 분기 만 명 더 늘었다 하지만 소액주주 수의 급증에도 불구하고 주가의 가파른 상승세로 인해 시총 대비 보유주식 비중 증가는 미미한 수준이다 각 사의 소액주주 보유주식 비중은 삼성전자가 로 전년 대비 포인트 늘었고 삼성 포인트 삼성 포인트 등으로 안팎이었다 삼성전기의 경우 에서 로 오히려 포인트 감소했다 업계 한 관계자는 동학개미운동으로 개인투자자가 급증하며 공매도 금지 등 정책 이슈와 정치권 등에 미치는 영향력은 매우 커졌다 면서도 화학 의 에너지솔루션 물적분할 사례에서 볼 수 있듯 시총 상위 종목에선 소액주주들의 의결권 영향력이 여전히 제한적 이라고 말했다 양희동
6,2021-03-11,"삼성·현대 손잡았다…정부, 車반도체 개발에 2000억 투입",머니투데이 세종 안재용 기자 신속통관 자가격리 면제 등 단기조치도 발표 서울 뉴스 박정호 기자 홍남기 경제부총리 겸 기획재정부 장관이 일 오전 서울 종로구 정부서울청사에서 열린 제 차 혁신성장 추진회의에서 모두발언을 하고 있다 뉴스 정부가 차량용 반도체 연구개발 에 년까지 억원을 투입한다 가전 산업 모바일 등에 사용되는 반도체를 차량용으로 전환할 수 있도록 돕고 차량용 애플리케이션프로세서 등 과제 지원을 늘린다 삼성전자와 현대자동차 등 수요 공급기업간 협업을 통해 시제품 출시도 앞당긴다 일 산업통상자원부에 따르면 정부는 전일 서울 세종대로 정부서울청사에서 제 차 혁신성장 추진회의 를 열고 이같은 내용이 담긴 차량용 반도체 단기수급 대응 및 산업역량 강화전략 강화방안 등을 발표했다 정부는 우선 차량용 반도체와 부품 자립화를 지원하기 위해 년까지 억원을 지원한다 정부는 올해부터 차량용 와 엣지컴퓨터 칩 레벨 자율차용 부품 초안전주행 플랫폼 기술개발을 지원하고 있는데 이를 통해 차량용 반도체 부족 문제 또한 중장기적으로 해결하겠다는 계획이다 정부는 차량용 반도체의 빠른 사업화를 위해 기존 비차량용 반도체를 차량용으로 전환할 수 있도록 지원한다 이를 위해 내년 수요기반형 고신뢰성 차량용 반도체 개발사업 을 신설할 계획이다 또 자동차 업계 수요를 기반으로 전기차 전력제어 반도체모듈 및 자율주행용 통신반도체 인공지능 반도체 영역별 통합제어 반도체 모듈 등에 대한 신규 과제를 기획하고 지원을 추진한다 자율주행 반도체 개발시 필요한 학습용데이터도 다음달부터 개방한다 실리콘과 질화갈륨 등 신소재 기반 반도체 초기시장 선점을 위해 인프라를 구축하고 신소재 기반 차세대 전력 반도체 상용화 사업을 신설한다 차량용 반도체 진입장벽 완화를 위해 기능안전 시험평가를 위한 시설과 장비를 년간 여종 구축하고 기술자문과 사업화를 지원한다 팹리스가 반도체 파운드리를 통해 손쉽게 시제품을 제작할 수 있도록 정부지원을 늘리고 파운드리 증설 투자지원을 강화한다 현대차와 삼성전자 등 완성차 반도체 기업이 참여하는 미래차 반도체 연대 협력 협의체 를 구성하고 정기적으로 를 열어 협력채널을 정례화 한다 단기적으로는 차량용반도체에 대한 통관과 물류를 지원해 신속통관할 수 있도록 하고 차량용반도체 조달을 위해 출입국하는 경우 격리면제 신속심사를 실시한다 대만 등 국제사회와 협력 또한 강화할 계획이다 홍남기 부총리 겸 기획재정부 장관은 대부분 해외 수입에 의존하는 차량용 반도체의 공급부족으로 완성차 생산에도 적지않은 영향이 있다 며 중장기적으로 차량용 반도체 시장을 선점하도록 소재 부품 장비 사례와 같이 핵심기술 개발과 생산역량 강화 등을 적극 추진하겠다 고 말했다 세종 안재용 기자
