,날짜,기사제목,본문내용
0,2021-05-06,"선진팜, 7일 네이버 쇼핑라이브로 '돈까스·멘츠까스 에어' 판매",머니투데이 박미주 기자 사진 선진 축산식품전문기업 선진의 온 오프라인 스토어 선진팜이 오는 일 저녁 시부터 한 시간 동안 네이버 쇼핑라이브에서 에어프라이어 전용 선진팜 에어시리즈를 판매한다고 일 밝혔다 에어프라이어 전용 식품을 최대 할인 판매한다 종 세트는 돈까스에어 와 멘츠까스에어 핫도그에어 다 돈까스에어는 국내산 돼지고기 통등심의 육즙을 느낄 수 있다 멘츠까스에어는 국내산 돼지고기와 양파로 속을 채워 육즙의 풍미가 풍부하다 에어프라이어로 분 조리하면 된다 핫도그에어는 국내산 돼지고기만 들어간 소시지로 만들었다 방송 선진팜 돈까스 핫도그 등 재치있는 삼행시를 짓는 시청자에 휴대용 보냉가방과 새우까스 모듬소시지 비프스테이크 등 선물도 준다 박미주 기자
1,2021-05-06,"S&P ""네이버, 5억불 채권발행에도 낮은 레버리지 수준 유지""",이데일리 김재은 기자 글로벌 신용평가사 스탠더드앤드푸어스 가 네이버 에 대해 채권 추가발행에도 매우 낮은 레버리지 수준을 유지할 것이라고 밝혔다 네이버의 신용등급을 에 안정적 등급전망을 유지했다 네이버는 미화 억 달러규모의 년만기 선순위 무담보채권의 추가 발행을 준비중이다 발행금리는 이고 이번에 조달한 자금으로 녹색 건축물을 비롯한 친환경 사회적 프로젝트에 사용할 계획이다 는 지난 일 이번 채권은 네이버가 년 월에 발행한 채권과 같은 조건으로 발행된다 며 네이버의 신용등급은 검색 이커머스 간편결제 등을 아우르는 생태계 구축을 통해 성장중인 온라인 광고 및 이커머스 시장에서 견고한 시장지위를 유지할 것으로 전망하는 견해를 반영한다 고 설명했다 또 는 네이버가 자본지출 및 지분인수 확대에도 불구하고 향후 년간 견조한 잉여영업현금흐름을 창출하고 대비 조정차입금 비율을 배 이하로 유지할 것으로 예상했다 다만 경쟁 심화와 지리적 편중 및 사업부별 수익편중은 네이버 강점을 상쇄하는 요인으로 꼽았다 는 안정적 등급 전망은 네이버가 향후 개월간 이커머스 및 핀테크 부문에서 를 웃도는 매출 성장률 및 한자릿수 후반대 성장률을 기록할 것으로 전망하는 견해를 반영한다 며 시장 성숙도가 높은 검색 부문은 한 자릿수 중반의 성장률을 기록할 것 이라고 예상했다 김재은
2,2021-05-06,"카톡 또 2시간 먹통에…""네이버 실검 살려라"" 빗발친 이유",머니투데이 심재현 기자 메신저 어플리케이션 카카오톡 이 갑작스러운 장애로 메시지 송수신과 접속이 안 되는 오류를 일으켰다가 시간 여분만에 정상화되면서 불똥이 실검 실시간 급상승 검색어 으로 튀었다 네이버와 다음 등 주요 포털사이트의 실검 서비스 종료로 카카오톡 오류 실시간 정보를 몰라 앱을 삭제했다가 낭패를 봤다는 불만이다 일 카카오에 따르면 지난 일 밤 시 분부터 이날 시 분까지 일부 사용자들의 카카오톡 메시지 수신이 원활하지 않고 버전 로그인이 실패하는 장애가 발생했다 카카오는 서비스 장애가 발생하자 긴급 점검에 나섰지만 장애 복구와 재발생 방지 테스트가 지연되면서 일 밤 시 분과 시 분 두차례에 걸쳐 트위터를 통해 서비스 재개 지연을 알리는 사과문을 공지했다 카카오는 서비스가 정상화된 직후인 이날 시 분 트위터를 통해 다시 긴급 점검이 완료돼 정상적으로 서비스 이용이 가능하다 며 불편을 겪으신 분들께 진심으로 사과 드린다 고 밝혔다 국민 메신저로 자리잡은 카카오톡에 장애가 발생하면서 사용자들 사이에서는 불만이 빗발쳤다 일부 사용자들은 소셜네트워크서비스 를 통해 카톡 카카오톡 으로 중요한 업무 연락 중이었는데 갑자기 먹통이 돼 백업한 뒤 지웠다 다시 깔았더니 백업 파일도 없어졌다 아무리 공휴일이라지만 긴급 점검을 시간 넘게 하는 게 말이 되나 등 불만을 쏟아냈다 국민 메신저의 배신이다 카톡 하나에 대한민국이 멈췄다 긴급 상황이 터졌을 때 카카오톡이 안 될 수도 있다고 생각하니 아찔하다 등의 반응도 이어졌다 일각에서는 네이버 실검 서비스를 되살려야 한다는 요청도 나왔다 실검 서비스가 종료되면서 카카오톡 서비스 오류를 뒤늦게 접한 사용자들이 와 모바일 등의 문제인 줄 알고 카카오톡 앱을 삭제했다가 재설치하면서 피해를 봤다는 주장이다 한 네티즌은 카카오톡 서비스 장애를 알리는 기사에 댓글로 포털 실검 이 없으니 나만 카톡이 안 되는 줄 알고 몇번이나 휴대폰을 껐다 켜면서 한참을 씨름했다 고 적었다 네이버 는 지난 월 일 다음은 지난해 월 실검 서비스를 종료했다 카카오톡 장애는 이번이 처음이 아니다 지난해 월에도 약 분 동안 일시 접속오류가 발생했다 같은 해 월 월에는 새해 인사를 보내려는 사용자들이 한꺼번에 몰리면서 시간여 동안 접속 장애가 발생했다 이후 월에도 보름여를 두고 두차례에 걸쳐 시간여 동안 비슷한 오류가 발생했다 지난해 월에는 신분증과 자격증 등을 카카오톡에 넣을 수 있는 카카오톡 지갑 을 출시한 첫날 사용자가 몰려 서비스가 온종일 먹통이 됐다 업계에서는 카카오톡이 생활플랫폼으로 자리잡아 국민들의 의존도가 높은 데 반해 상대적으로 네트워크 관리나 투자에 소홀한 것 아니냐는 비판이 나온다 카카오톡 월간 활성 이용자 수 는 만명에 달한다 우리나라 인구 수에 육박한다 업계 한 인사는 카카오톡 자체는 무료 서비스지만 카카오는 월간 활성 이용자 만명의 카카오톡 플랫폼 파워를 기반으로 모빌리티 골프 영어교육 등 다양한 분야로 사업을 확장하고 있다 며 카카오가 국민 메신저라는 위상에 걸맞는 투자와 관리에 더 신경써야 한다 고 말했다 심재현 기자
