,날짜,기사제목,본문내용
0,2021-03-08,"플리토, 네이버 파파고와 AI번역사업 MOU",언어 인공지능 기술 정확도 향상 기계번역 품질 고도화 주력 방침 통합 번역 플랫폼 플리토가 네이버의 인공지능 번역 서비스 파파고와 언어 인공지능 분야에 전략적 사업 사진 제휴를 체결했다 양사는 이번 사업 제휴를 통해 언어 인공지능 고도화에 힘을 모은다는 계획이다 특히 인공지능 번역 기술 향상에 방점을 두고 언어 인공지능 기술 정확도 향상을 위해 협력할 예정이다 네이버는 플리토의 데이터 수집 및 정제 번역 처리 기술 등을 연계해 번역 품질 고도화를 위한 협력 모델 개발을 추진할 계획이다 플리토는 자체 플랫폼을 활용해 혁신적인 언어 인공지능 모델을 개발하고 있으며 다수의 글로벌 대표 기업들과 인공지능 고도화를 위한 기술 협약을 맺고 있다 올 초에는 한국지능정보사회진흥원 으로부터 국내 대 인공지능 스타트업에 선정되기도 했다 신중휘 네이버 파파고 책임리더는 대용량 언어 데이터를 보유하고 이를 기반으로 번역 엔진에도 우수한 기술력을 갖춘 플리토와 협력해 앞으로 기계번역 품질을 더욱 고도화할 수 있을 것으로 기대한다 고 말했다 이정수 플리토 대표는 약 년 간 언어 데이터 및 인공지능 에 집중해온 플리토의 다국어 수집 번역 처리 등의 기술은 독보적이라 자부한다 며 언어 인공지능에 있어 선도적인 기술을 보유한 네이버와 협력해 인공지능 번역 기술 개발에 힘쓰겠다 고 밝혔다 한편 플리토는 최근 기업 특화 데이터를 번역 엔진에 적용한 기업 맞춤형 번역 서비스를 선보이며 기술력을 과시하고 있다 기업 맞춤형 번역 서비스는 범용 번역 엔진에서 한 단계 진화해 기업이 속한 업계나 업종 해당 기업의 특정 용어를 학습시켜 기업의 용어를 정확히 이해한 번역 결과를 보여주는 방식이다 유재훈 기자
1,2021-03-08,"일동후디스, 9일 네이버 쇼핑 라이브서 건강즙 할인판매",파이낸셜뉴스 일동후디스는 오는 일 오후 시 네이버 쇼핑 라이브를 통해 후디스 진 건강즙 을 할인가에 선보인다고 일 밝혔다 후디스 진 건강즙 은 첨가물 없이 원물 그대로 착즙한 것이 특징으로 인증도 받았다 이번 쇼핑 라이브에서는 후디스 진 건강즙을 최대 할인된 가격으로 선보일 예정이다 양배추와 브로콜리 석류 흑마늘 사과비트당근 등 종으로 구성했다 구매 혜택과 이벤트도 선보인다 방송에 참여한 모든 소비자들에게 스토어찜 할인쿠폰 구매 및 리뷰 적립금을 제공한다 세트 구매 시 랜덤 세트를 추가로 증정하는 이벤트를 준비했다 또 소비자들과 실시간으로 소통하며 재미와 특별한 쇼핑 경험을 전달하는 각종 이벤트도 진행할 계획이다 이정은 기자
2,2021-03-08,"일동후디스, 무첨가 '후디스 진 건강즙' 네이버 쇼핑 라이브",이데일리 김범준 기자 일동후디스는 이달 일 오후 시 네이버 쇼핑 라이브 를 통해 무첨가 착즙 후디스 진 건강즙 을 할인가에 선보인다고 일 밝혔다 후디스 진 건강즙 은 철저하게 선별한 안전한 원물을 물 한 방울 섞지 않는 홈메이드 방식으로 착즙해 자연 원물의 영양과 기능을 그대로 진하게 담은 프리미엄 건강음료다 첨가물 없이 원물 그대로 진하게 착즙했으며 해썹 인증까지 받았다 이번 네이버 쇼핑 라이브에서는 후디스 진 건강즙 종을 최대 할인 가격으로 선보일 예정이다 위와 장 건강에 도움을 주는 국내산 양배추와 브로콜리 식물성 에스트로겐 엘라그산이 풍부한 터키산 석류로 만든 석류 국내산 남해 흑마늘 고형분을 이상 함유해 활력에 도움을 주는 좋은 흑마늘 비타민 식이섬유 등 국내산 과채의 다양한 영양소를 담은 사과비트당근 으로 구성했다 이를 기념해 일동후디스는 다양한 이벤트도 진행한다 방송에 참여한 모든 소비자들에게 스토어찜 할인쿠폰과 구매 및 리뷰 적립금을 제공한다 후디스 진 건강즙 세트 구매 시 랜덤 세트를 추가로 증정하는 이벤트 도 진행했다 또 소비자들과 실시간으로 소통하며 재미와 특별한 쇼핑 경험을 전달하는 각종 이벤트도 진행할 계획이다 일동후디스 관계자는 후디스 진 건강즙은 남녀노소 누구나 맛있게 섭취할 수 있는 건강음료로 식사가 불규칙한 현대인들에게 꼭 필요한 영양을 그대로 담았다 고 말했다 김범준
