negative,neutral,positive
30.335391439000002,6.288148033000001,32.720522299
23.761582287,4.5035828659999995,36.297542936
23.082142465000004,6.001885066000001,29.857129665999995
16.865846148999996,5.981382643,33.29242099900001
16.320391602999997,5.435928097,39.38333008900001
16.450130359999996,3.6919332700000007,34.584077714
23.778536224999996,4.8450885150000005,35.995455835
36.305927491,9.555386963999998,31.783472616999997
25.053843503000003,6.727379601,44.186434719000005
19.038940925,2.4854023210000005,22.431172987
13.080987271999994,2.3641635169999997,24.377558241000003
27.55859778699999,11.223892598,39.701361302
18.460936270999998,2.8150406500000003,21.518594283000002
21.200096162999994,4.85573091,22.957060726
