negative,neutral,positive
17.880902864,2.12828421,35.868056714000005
15.803925463,0.8104876010000001,34.156192309999994
12.198481924000003,1.7775297410000002,27.99211106399999
16.59658083,1.711052572,32.41212451199999
8.9,2.366666666,12.066666667000002
6.633333333,3.9166666670000003,28.449999999999996
15.082454538999997,4.213259099000001,29.15267740099999
20.740261500999996,7.346675816,42.80965050799998
16.467497273,5.0649685,26.437292785999993
14.684705945999996,7.924453594,31.176317175999994
16.411670715,6.721337064,26.81778059099999
15.084434942999996,9.369711047000001,30.75680498099999
176.48424933099997,53.35109257700001,358.0956747099999
