,날짜,기사제목,본문내용
0,2021-04-07,"두나무 지분 파는 카카오, 최소 수십배 차익 챙긴다",비트코인 열풍에 두나무 몸값 넉달새 조 조 수익실현 위해 만기펀드 지분 일부 매각 국내 벤처캐피탈과 협상 진행중 전형적인 매도자 우위 시장으로 서울경제 암호화폐 거래소 업비트로 유명한 스타트업 두나무의 몸값이 하루가 다르게 뛰고 있다 카카오벤처스 등 두나무 기존 투자자들이 기관투자가들과 거래 협상을 하고 있는 가운데 두나무 기업가치가 이례적으로 몇 달 사이 배나 올라 시장은 전형적인 매도자 우위 양상으로 변하고 있다 일 관련 업계에 따르면 카카오벤처스 등 일부 기관투자가들은 두나무 보유 지분을 매각하기 위해 국내 벤처캐피탈 들과 협상하고 있다 최근에는 두나무의 기업가치가 조원 수준으로 뛴 것으로 알려졌다 업계 관계자는 카카오벤처스 등 펀드 만기가 된 기관 중심으로 두나무 일부 지분을 놓고 매각 협상을 하고 있다 며 두나무 초기 투자자들의 펀드 만기와 일부 이익실현 차원에서 구주 거래가 이뤄지고 있다 고 설명했다 지난해 말 한화투자증권이 두나무의 구주를 인수할 때만 해도 두나무의 기업가치는 억원 안팎이었다 하지만 최근 국내 위 암호화폐거래소 업비트의 거래액이 폭증하며 몸값이 몇개월 사이 배 가량 올랐다 두나무의 나스닥 상장설이 제기된 것도 몸값을 높이는 요인으로 작용하고 있다 미국 최대 규모 암호화폐거래소인 코인베이스의 나스닥 직상장이 결정되면서 두나무 상장에 대한 관심이 더 커졌다 기관 간 대규모 장외거래 구주 매매 의 경우 가격 변동성이 거의 없는 것이 일반적이다 하지만 최근 들어 암호화폐 거래대금이 크게 늘어나고 두나무 기업공개 에 대한 기대감으로 두나무 기업가치가 비트코인 가격처럼 시시각각 빠르게 변하는 중이다 의 한 관계자는 월만 해도 조원 수준이었던 두나무 몸값이 몇주 지나자 호가가 배나 올라 두나무 구주를 매입하는 데 어려움이 있다 며 최근엔 기업가치 조원 기준으로 몸값을 불러 투자 포기를 검토하는 기관도 나오고 있다 고 설명했다 시장에서는 초기에 두나무 투자에 나섰던 카카오벤처스 등 일부 투자자들은 최소 수십배 많게는 수백배 차익을 챙길 것이란 분석이 나온다 시장 관계자에 따르면 주요 투자기관들이 최근 두나무 지분을 적극적으로 매입하며 손바뀜이 일어나고 있다 최근엔 미래에셋벤처투자가 두나무 지분 일부를 매입하며 주주로 올라섰다 이밖에 인베스트먼트 인베스트먼트도 최근 대성창업투자 에이티넘인베스트먼트 등 기존 보유 기관으로부터 소수 지분을 사들였다 두나무의 지난해 매출액 영업수익 은 억원대로 알려졌다 하지만 올 초 암호화폐 거래대금 폭증으로 올 분기 매출만 억원에 육박할 것으로 분석된다 지난 월부터 업비트 암호화폐 거래대금만 하루에 조원 안팎 수준이기 때문이다 카카오는 두나무 지분 약 를 직 간접적으로 보유하고 있는 것으로 알려졌다 카카오가 카카오벤처스의 케이큐브 호벤처투자가 카카오청년창업펀드가 가량 보유하고 있다 박호현 기자
1,2021-04-07,[시그널] 구글의 카카오 모빌리티 투자···어떻게 가능했나,한국 기업 첫 투자 개월 진통 끝 타결 이사회 참여 요구나 최저 수익 보장 요구 없어 카카오의 데이터와 구글의 알고리즘 간 시너지 기대 서울경제 카카오 모빌리티가 제공하는 택시호출 서비스 구글의 투자에 카카오도 고무된 분위기입니다 카카오 관계자 구글이 한국의 정보통신 기업 중 첫 전략적 투자처로 카카오와 손잡으면서 투자 배경이 주목받고 있다 구글이 먼저 카카오에 손을 내밀었고 양쪽은 개월 간 협의 끝에 구체적인 합의에 다다랐다 이 과정에서 투자은행 의 서울지점은 양측의 조율자로 나서 의미있는 거래를 성사시켰다 일 투자은행 업계에 따르면 구글은 카카오 모빌리티에 만 달러 억 원 를 투자해 지분 의 대 주주 지위를 확보한다 기업가치는 직전 칼라일 투자 유치 때와 비슷한 수준인 조 억원 규모다 구글은 물론 카카오 모빌리티 입장에서도 첫 전략적 투자에 해당한다 그전까지는 칼라일 그룹 텍사스퍼시픽그룹 오릭스캐피탈 한국투자증권 등 국내외 재무적 투자자에게만 투자를 받았다 이번 투자는 구글이 자율주행 서비스를 영위하는 자회사 웨이모를 위한 투자처를 찾는 작업에서 시작됐다 구글이 카카오 모빌리티에 처음 이 제안을 한 지난해 하반기에는 카카오 모빌리티의 기존 투자자도 가능성을 높게 보지 않았다 이미 칼라일 등 글로벌 사모펀드 로부터 대규모 투자 제안을 받아 검토 중인 카카오 모빌리티로서도 당장 추가 투자금이 필요한 상황은 아니었다 그러다 지난해 월 경쟁사인 우버와 티맵 모빌리티가 합작투자를 알리면서 논의 속도는 빨라졌다 카카오모빌리티 주주구성 자료 카카오 구글의 투자금이 다른 투자자에 비해 적기 때문에 까다로운 조건을 제시하지는 않은 것으로 전해진다 이사회 참여 요구도 없었으며 카카오 등 대주주에게 최저수익률보장을 요구하지도 않았다 이는 재무적투자자인 칼라일도 마찬가지다 일례로 비슷한 시기 티맵 모빌리티는 사모펀드 어펄마캐피탈과 이스트브릿지로부터 억 원 투자를 유치하면서 사실상 그룹이 중반대의 최저수익률을 보장한 것으로 전해졌다 티맵 모빌리티와 우버 합작 투자와 외부 투자 유치 방안 구글과 카카오모빌리티는 자율주행 사업에서 협력중인데 앞으로 양사의 결합은 더 깊어질 것으로 보인다 구글은 스마트폰과 차를 연결해 운전중에 필요한 앱을 사용할 수 있게 돕는 안드로이드 오토 시스템에 카카오 맵을 탑재했다 국내는 정부가 보안상 이유로 구글에 고정밀 지도 활용을 금지했기 때문이었다 구글 웨이모는 라이다 기반의 자율주행을 연구중인데 이를 위해서는 고정밀지도가 필요하고 구글은 카카오모빌리티의 관련 데이터를 지속적으로 제공 받을 수 있다 특히 카카오모빌리티 매출의 를 차지하는 택시사업 가맹 호출 을 통해 방대한 데이터를 축적할 수 있다 시간과 장소에 따라 달라지는 사용자 수요 배차 관련 패턴 실시간 최적 경로 등이 해당한다 카카오 모빌리티 입장에서는 로보택시 사업에 구글이 도움이 될 수 있다 구글은 차를 갖고 있지 않아도 인공지능이 사용자가 가려는 곳가지 자율주행으로 데려다 주는 로보택시를 일부 지역에서 상용화했다 카카오가 이 알고리즘을 공유하는 기회가 될 수 있다 경쟁사인 티맵 모빌리티의 반격도 거세다 택시가맹사에 과금제를 도입한 카카오와 달리 비과금 모델을 유지하기로 한 것이다 구글의 안드로이드 오토의 티맵 버전도 정식 출시했다 업계 관계자는 비슷한 시기에 글로벌 기업과 손잡고 막대한 투자금까지 구축한 카카오 모빌리티와 티맵 모빌리티가 사용자 확보부터 기술 개발 사업 확장 등 단계마다 치열한 경쟁을 벌일 것 이라고 전망했다 카카오모빌리티 부문별 매출전망 자료 카카오 임세원 기자
2,2021-04-07,"교보증권 ""카카오, 카카오모빌리티 기업가치 상승으로 투자 추천""",교보증권이 일 카카오모빌리티의 기업가치가 상승할 것이라면서 카카오 매수를 추천했다 목표주가는 만원을 제시했다 박지원 교보증권 연구원은 글로벌 동종업계 우버와 리프트의 주가매출비율 을 기반으로 카카오모빌리티의 기업 가치를 조 억원으로 추정한다 면서 글로벌 동종업계보다 규제 리스크가 낮고 빠른 흑자전환이 예상되므로 프리미엄 를 적용했다 고 말했다 카카오모빌리티가 운영하는 모빌리티 플랫폼 카카오 는 누적 가입자 만명 월간 활성 사용자 만명에 달하는 플랫폼 역량으로 국내 모빌리티 위 사업자의 지위를 지키고 있다 또 카카오모빌리티는 월 만 원 멤버십 서비스 출시 스마트호출 사용료 등 유료화 전략을 펼치면서 수익 개선에 나서고 있다 박 연구원은 카카오모빌리티가 구글에 투자를 유치하고 유료화 전략을 가속화하면서 카카오모빌리티 기업의 가치가 상승할 것으로 보인다 면서 카카오모빌리티의 지분 를 보유한 카카오 매수를 추천한다 고 말했다 김소희 기자
3,2021-04-07,"카카오, 카카오모빌리티 기업가치 4.4조 추정",교보증권 리포트 구글 카카오모빌리티 대 주주 등극 전망 올해 모빌리티 매출 억 전망 두나무 가치 상승도 긍정적 서울경제 교보증권은 일 자회사 카카오 모빌리티와 구글의 협력이 예상되는 카카오에 대한 매수 의견을 내놨다 교보증권에 따르면 카카오모빌리티는 지난 일 구글로부터 기업가치 조 억 원을 인정받고 만 달러 억 원 규모의 투자를 유치했다 박지원 교보증권 연구원은 이번 투자를 통해 구글은 카카오모빌리티의 지분 를 취득해 동사의 대 주주 지위를 확보할 것으로 보인다 며 투자 금액은 모빌리티 데이터 및 기술 고도화에 쓰일 예정 이라고 말했다 이에 카카오모빌리티의 기업 가치는 조 억 원에 달할 것이라는 분석이다 올해 매출 역시 억 원으로 지난해보다 급증할 것으로 예상했다 향후 유료화 전략이 가속화하며 기업 가치는 장기적으로 올라갈 전망이다 교보증권은 이외에도 카카오의 두나무 지분 가치 상승을 매력적으로 꼽았다 카카오는 두나무의 지분을 별도 기준 연결 기준 보유 중이다 박 연구원은 미국 가상화폐 거래소 코인베이스 가 조 원에 상장할 것이라는 보도가 나오면서 국내 비트코인 플랫폼 업비트 운영사인 두나무 또한 높은 가치에 미국에 상장할 수 있을 것이라는 기대감이 형성됐다 고 말했다 신한나 기자
4,2021-04-07,"카카오, 카카오모빌리티와 구글 협력으로 가치 상승-교보",이데일리 박정수 기자 교보증권은 일 카카오 에 대해 카카오모빌리티와 구글의 협력으로 가치 상승이 기대된다며 투자의견 매수 와 목표주가 만원을 유지했다 박지원 교보증권 연구원은 카카오모빌리티는 지난 일 구글 로부터 기업가치 조 억원을 인정받고 만달러 억원 의 투자를 유치했다 며 이번 투자를 통해 구글은 카카오모빌리티의 지분 를 취득해 카카오의 대주주 지위를 확보할 것으로 보이며 투자 금액은 모빌리티 데이터 및 기술 고도화에 쓰일 예정 이라고 설명했다 박지원 연구원은 칼라일 그룹 등 이전까지의 카카오모빌리티 주요 투자자들은 재무적 투자자 였으며 구글은 카카오모빌리티가 유치한 최초의 전략적 투자자 라며 이번 투자를 통해 특히 자율주행 서비스 부분에서 구글 자회사 웨이모 와 카카오모빌리티의 사업 협력이 기대된다 고 판단했다 현재 국내 모빌리티 산업은 우버 와 티맵모빌리티의 합작법인 우티 가 출범하고 타다가 공격적인 가격 인하 정책을 통해 택시 가맹 사업을 확장하면서 경쟁 강도가 높아지고 있다 구글과의 파트너십은 카카오가 향후 데이터 고도화 자율 주행 등의 신규 사업으로 진출할 때 경쟁사 대비 높은 기술력을 갖추는 데 도움이 될 것이란 분석이다 앞서 지난 월 카카오모빌리티는 택시 기사를 대상으로 유료 멤버십 상품을 출시했다 해당 멤버십 상품은 콜 수요가 많은 지역을 알려주는 기능 원하는 목적지 콜을 확인해 주는 기능 등을 포함하고 있다 가입 첫 한 달은 무료이며 월까지는 월 만 원 그 이후에는 월 만 원의 요금이 부과된다 해당 유료 멤버십 상품은 출시된 지 일 만에 선착순 만명 가입이 마감됐으며 현재는 가입 제한 없이 추가 모집을 받고 있다 박 연구원은 올해 카카오모빌리티는 해당 멤버십 제품을 통해 억원의 매출을 추가 발생시킬 것으로 전망한다 며 해당 상품은 높은 수익률을 통해 흑자 전환에도 기여할 것으로 보인다 고 분석했다 년 카카오모빌리티 매출은 전년 대비 증가한 억원으로 전망한다 그는 카카오 는 구글과의 협력을 통한 모빌리티 기술력과 누적 가입자 만명 월간이용자 수 만명에 달하는 플랫폼 역량을 통해 국내 모빌리티 위 사업자의 지위를 공고히 해나갈 것 이라며 카카오모빌리티의 구글 투자 유치 및 유료화 전략 가속화는 카카오모빌리티 기업 가치 상승 요인으로 보며 카카오모빌리티의 지분 를 보유하고 있는 카카오의 매수를 추천한다 고 강조했다 박정수
