time,title,context
2021-05-08,1분기 전기차 판매 1위 테슬라…현대차·기아,대 중 대 테슬라 현대차그룹 아이오닉 이연수요 위 밖 세일즈 자료 헤럴드경제 원호연 기 분기 글로벌 시장 전기차 판매 위 테슬라 집계 아이오닉 를 공개 현대차 기아 위 밖 일 현지시간 전기차 판매량 전문 매체 세일즈 집계 분기 전기차 판매량 순위 테슬라 위 대 판매 테슬라 시장 점유율 였다 위 대 판매 를 상하이자동차 로 위 상하이차 위 폭스바겐그룹 차 폭스바겐그룹 대 판매 를 점유 위 위 대 위 스텔란티스 대 이름 인산철 배터리 탑재한 모델 본격적 출시 현대차 기아 아이오닉 를 공개 본격적 고객인도 출시 분기 위 밖 기반 전용 전기차 모델 대기수요 기존 모델 판매 부진 것 반도체 부족 구동모터 생산차질 아이오닉 의 월별 생산 목표 만대 대 올해 점유율 회복 르노 닛산 얼라이언스 동맹 등 순위권
2021-05-08,현대차 ‘AX1’ 티저 이미지 주목…경차 시장,독특 원형 패턴 적용 후방 미등 경차 플랫폼 리터 엔진 탑재 예상 현대 티저 이미지 출처 헤럴드경제 정찬수 기 현대자동차 경형 스포츠유틸리티차 코드명 의 티저 이미지 눈길 현대차 로 하반기 출시 예정 해당 모델 경차 바람 수 지 주목 공개 의 티저 이미지 총 장 원형 독특 패턴 구성 후방 미등 구성 이 외 현대차 디자인 철학 가미 미래지향적 디자인 분석 후방 미등 디자인 그간 위장막 단조로운 패턴 모델 정체성 독특 디자인 포인트 것 해석도 내놨다 은 광주 빛그린 산업단지 내 조성 광주글로벌모터스 생산 것 소형 베뉴 차체 국내 신흥국 수출 염두 것 특징 현대 시리즈 의 후속 분석 제기 은 년 출시 이후 유럽 인도 시장 출시 전략 모델 세대 인도 세대 터키 등 판매 국내 출시 여부 미정 시장 등장 경우 대형화 추세 국내 완성차 업계 선택지 것 모닝 레 쉐보레 스파크 등 국내 판매 중 경차 손 정도 타임스 오브 인디아 의 전장 약 로 리터 기통 가솔린 엔진 사용 것 예상 며 해당 모델 인도 출시 마힌드 스즈키 마루티 프레쏘 등 경쟁 것 이 현대 티저 이미지 출처
2021-05-08,국산 자동차회사 브랜드 평판 1위 현대차,아시아경제 이창환 기 일 한국기업평판연구소 국산 자동차 기업 개 브랜드 한 간 빅데이터 평판 분석 결과 위 현대차 위 기아 위 쌍용차 순 분석 이 지난달 일 이달 일 국산 자동차 기업 브랜드 빅데이터 개 분석 결과 위 한국 위 르노삼성자동차 국산 자동차 기업 브랜드평판 참여지수 미디어지수 소통지수 커뮤니티지수 사회공헌지수 등 세분화해 조사 위 현대차 브랜드평판지수 로 지난달 브랜드평판지수 비교 하락 위 기아 브랜드 평판지수 로 전월 대비 쌍용차 으 전월 대비 상승 한국 은 로 르노삼성차 로 하락 이창환 기자
