,날짜,기사제목,본문내용
0,2021-05-06,‘주먹밥 돌풍’ CJ제일제당...가정간편식 라인업 확대,제일제당이 냉동 주먹밥 라인업을 확대한다 가정간편식 의 인기로 주먹밥 판매가 출시 개월 만에 만봉을 넘어서는 등 인기가 높아지고 있기 때문이다 일 제일제당에 따르면 비비고 치즈닭갈비 주먹밥 과 비비고 전주비빔 주먹밥 등 주먹밥 신제품 종이 이날 출시됐다 비비고 전주비빔 주먹밥 은 소고기 콩나물 표고버섯 등 각종 채소와 매콤한 고추장 양념이 잘 어우러진 제품이다 비비고 치즈닭갈비 주먹밥 은 매콤한 닭갈비와 모짜렐라 치즈로 속을 꽉 채우고 노릇노릇하게 구워냈다 이번 신제품 출시로 비비고 주먹밥은 모두 종이 됐다 비비고 냉동밥 라인업에서 볶음밥이 주로 한끼식사용으로 애용된다면 삼각형 모양의 주먹밥은 간식이나 가벼운 식사로 선호도가 높다 실제 비비고 주먹밥은 년 월 출시 후 올해 월까지 개월간 누적 판매액 약 억원 누적 판매량 약 만봉을 기록했다 특히 초등자녀 가구를 중심으로 큰 인기를 얻어 올해 월까지 매출이 전년 동기 대비 배 가량 증가했다 신소연 기자
1,2021-05-06,"CJ제일제당, '비비고 치즈닭갈비·전주비빔 주먹밥' 출시",머니투데이 박미주 기자 비비고 주먹밥 년만에 비비고 냉동밥 전체 매출의 차지 제품군 지속 확대 사진 제일제당 제일제당이 비비고 주먹밥 제품군을 확장하며 냉동밥 시장 키우기에 나섰다 제일제당은 비비고 치즈닭갈비 주먹밥 과 비비고 전주비빔 주먹밥 을 출시했다고 일 밝혔다 비비고 전주비빔 주먹밥은 소고기 콩나물 표고버섯 등 각종 채소와 고추장 양념이 어우러진 제품이다 비비고 치즈닭갈비 주먹밥은 닭갈비와 모짜렐라 치즈로 속을 채우고 구워냈다 이번 신제품 출시로 비비고 주먹밥은 종을 갖추게 됐다 비비고 주먹밥은 간식이나 가벼운 식사로 선호도가 높다 년 월 출시 후 지난달까지 개월간 누적 판매액 약 억원 누적 판매량 약 만봉을 기록했다 올해 월 매출이 전년 동기 대비 배 증가하며 성장세가 지속되고 있다 비비고 냉동밥 전체 매출에서 주먹밥 비중도 늘어나고 있다 출시 초반 매출의 비중에서 올해는 로 기존 스테디셀러인 비비고 볶음밥 매출과 비슷한 수준이 됐다 비비고 주먹밥은 냉동밥 시장 전체 성장도 견인하고 있다 냉동밥 시장은 닐슨 코리아 기준 년 억원 년 억원으로 커지다가 년 억원 규모로 주춤했으나 지난해 집밥족 증가와 더불어 비비고 주먹밥의 성장으로 억원 규모로 다시 커졌다 제일제당 관계자는 취식빈도가 높은 메뉴 중심으로 포트폴리오를 확대해 소비자 선택권을 다양화하고 시장을 키워나갈 것 이라고 말했다 박미주 기자
2,2021-05-06,"간편식 시장 커지자…CJ제일제당, 주먹밥 라인업 확대",전주비빔 치즈닭갈비 출시 종으로 늘어 가벼운 식사로 개월만 만봉 판매 제일제당이 일 출시한 신제품 전주비빔 주먹밥 제일제당 제공 헤럴드경제 신소연 기자 제일제당이 냉동 주먹밥 라인업을 확대한다 가정간편식 의 인기로 주먹밥 판매가 출시 개월 만에 만봉을 넘어서는 등 인기가 높아지고 있기 때문이다 일 제일제당에 따르면 비비고 치즈닭갈비 주먹밥 과 비비고 전주비빔 주먹밥 등 주먹밥 신제품 종이 이날 출시됐다 비비고 전주비빔 주먹밥 은 소고기 콩나물 표고버섯 등 각종 채소와 매콤한 고추장 양념이 잘 어우러진 제품이다 비비고 치즈닭갈비 주먹밥 은 매콤한 닭갈비와 모짜렐라 치즈로 속을 꽉 채우고 노릇노릇하게 구워냈다 이번 신제품 출시로 비비고 주먹밥은 기존 김치치즈 주먹밥 불고기 주먹밥 버터장조림 주먹밥 까지 모두 종이 됐다 비비고 냉동밥 라인업에서 볶음밥이 주로 한끼식사용으로 애용된다면 삼각형 모양의 주먹밥은 간식이나 가벼운 식사로 선호도가 높다 실제 비비고 주먹밥은 년 월 출시 후 올해 월까지 개월간 누적 판매액 약 억원 누적 판매량 약 만봉을 기록했다 특히 초등자녀 가구를 중심으로 큰 인기를 얻어 올해 월까지 매출이 전년 동기 대비 배 가량 증가했다 비비고 냉동밥 전체 매출에서 주먹밥이 차지하는 비중도 에서 로 늘어 스테디셀러였던 볶음밥과 비슷해졌다 주먹밥 제품의 선전으로 전체 냉동밥 시장도 성장 추세다 닐슨 코리아에 따르면 국내 냉동밥 시장은 년 억원 년 억원으로 커지다가 년 억원 규모로 주춤했다 하지만 지난해 집밥족 증가와 더불어 비비고 주먹밥의 성장으로 억원 규모로 다시 커졌다 제일제당 관계자는 비비고 주먹밥은 차별화된 기술력과 전문 셰프 레시피를 토대로 맛 품질을 확보한 제품 이라며 취식빈도가 높은 메뉴 중심으로 포트폴리오를 확대해 시장을 키워나갈 것 이라고 말했다
3,2021-05-06,"CJ제일제당, ‘비비고 주먹밥’ 라인업 확대",치즈닭갈비 전주비빔 종 추가 출시 주먹밥 라인 냉동밥 매출서 비중 까지 증가 이데일리 김무연 기자 제일제당이 비비고 주먹밥 라인업을 확장하며 냉동밥 시장 키우기에 나섰다 제일제당은 비비고 치즈닭갈비 주먹밥 과 비비고 전주비빔 주먹밥 등 주먹밥 신제품 종을 출시했다고 일 밝혔다 비비고 주먹밥 신제품 종 사진 제일제당 비비고 전주비빔 주먹밥 은 소고기 콩나물 표고버섯 등 각종 채소와 고추장 양념을 함께 담은 제품이다 비비고 치즈닭갈비 주먹밥 은 매콤한 닭갈비와 모짜렐라 치즈로 속을 채우고 구워냈다 이번 신제품 출시로 비비고 주먹밥은 기존 김치치즈 주먹밥 불고기 주먹밥 버터장조림 주먹밥 까지 모두 종을 갖추게 됐다 비비고 냉동밥 라인업에서 볶음밥이 한끼식사용으로 애용된다면 삼각형 모양의 주먹밥은 간식이나 가벼운 식사로 선호도가 높다 실제 비비고 주먹밥은 년 월 출시 후 지난 월까지 개월간 누적 판매액 약 억원 누적 판매량 약 만봉을 기록했다 특히 초등자녀 가구를 중심으로 큰 인기를 얻고 있으며 올해 월까지 매출은 전년 동기 대비 배 증가했다 비비고 냉동밥 전체 매출에서 주먹밥 비중도 늘어나고 있다 출시 초반 매출의 비중에서 올해는 로 기존 스테디셀러인 비비고 볶음밥 매출과 비슷한 수준이 됐다 비비고 주먹밥은 냉동밥 시장 전체 성장도 견인하고 있다 냉동밥 시장은 닐슨 코리아 기준 년 억원 년 억원으로 커지다가 년 억원 규모로 주춤했으나 지난해 집밥족 증가와 더불어 비비고 주먹밥의 성장으로 억원 규모로 다시 커졌다 제일제당 관계자는 비비고 주먹밥은 차별화된 기술력과 전문 셰프 레시피를 토대로 맛 품질을 확보한 제품 이라면서 취식빈도가 높은 메뉴 중심으로 포트폴리오를 확대해 소비자 선택권을 다양화하고 시장을 키워나갈 것 이라고 말했다 김무연
4,2021-05-06,"CJ제일제당, '비비고 주먹밥' 라인업 확대",파이낸셜뉴스 제일제당은 비비고 치즈닭갈비 주먹밥 과 비비고 전주비빔 주먹밥 등 주먹밥 신제품 종을 출시했다고 일 밝혔다 비비고 전주비빔 주먹밥은 소고기 콩나물 표고버섯 등 각종 채소와 고추장 양념이 잘 어우러진 제품이다 비비고 치즈닭갈비 주먹밥은 매콤한 닭갈비와 모짜렐라 치즈로 속을 채우고 노릇노릇하게 구워냈다 이번 신제품 출시로 비비고 주먹밥은 기존 김치치즈 주먹밥 불고기 주먹밥 버터장조림 주먹밥까지 모두 종을 갖추게 됐다 비비고 냉동밥 라인업에서 볶음밥이 주로 한끼식사용으로 애용된다면 삼각형 모양의 주먹밥은 간식이나 가벼운 식사로 선호도가 높다 실제 비비고 주먹밥은 년 월 출시 후 올해 월까지 개월간 누적 판매액 약 억원 누적 판매량 약 만봉을 기록했다 특히 초등자녀 가구를 중심으로 큰 인기를 얻고 있는데 올해 월까지 매출이 전년 동기 대비 배 증가하며 성장세가 지속되고 있다 비비고 냉동밥 전체 매출에서 주먹밥 비중도 늘어나고 있다 출시 초반 매출의 비중에서 올해는 로 기존 스테디셀러인 비비고 볶음밥 매출과 비슷한 수준이 됐다 비비고 주먹밥은 냉동밥 시장 전체 성장도 견인하고 있다 냉동밥 시장은 닐슨 코리아 기준 년 억원 년 억원으로 커지다가 년 억원 규모로 주춤했으나 지난해 집밥족 증가와 더불어 비비고 주먹밥의 성장으로 억원 규모로 다시 커졌다 제일제당 관계자는 비비고 주먹밥은 차별화된 기술력과 전문 셰프 레시피를 토대로 맛 품질을 확보한 제품 이라면서 취식빈도가 높은 메뉴 중심으로 포트폴리오를 확대해 소비자 선택권을 다양화하고 시장을 키워나갈 것 이라고 말했다 이정은 기자
5,2021-05-06,"식품 주문·보관에 레시피까지 추천…CJ제일제당, 가전협업 실험",제일제당 주방가전 연계 서비스 협력 박차 삼성전자 간편식 스캔쿡 전자 레시픽 등 식재료별 최적 보관하고 맞춤 레시피도 추천 접목 먹거리 디바이스 연결로 맛 품질 만족도 이데일리 김범준 기자 워킹맘 최민주 씨는 요즘 똑똑해진 주방 가전에 푹 빠졌다 김치냉장고가 인공지능 맞춤보관 기능으로 제품을 인식해 가장 적합한 보관 온도와 시간을 자동으로 설정해주면서 훨씬 맛있는 김치를 즐기게 되면서다 최씨는 보관 중인 식재료와 사용 데이터를 조합해 맞춤 레시피 요리법 를 제공하는 냉장고와 가정간편식 쇼핑부터 최적으로 조리해주는 오븐도 구매를 고려하고 있다 올초 미국에서 열린 에서 선보인 전자 스마트 냉장고의 비전팩 및 레시픽 기술 냉장고 안에 있는 식재료를 스마트폰으로 확인하고 맞춤 레시피와 식품을 인공지능 으로 추천받을 수 있다 제일제당 및 올리브네트웍스와 협업했다 사진 전자 제일제당 제공 일 업계에 따르면 제일제당은 주방 가전 제조사들과 협업한 식품 서비스에 박차를 가하고 있다 제품 구매부터 보관 조리까지 개인화되고 최적화된 맞춤 서비스로 소비자들의 편의는 물론 최고의 맛 품질을 제공하기 위해서다 제일제당은 최근 삼성전자와 손잡고 비스포크 직화오븐 에 간편식 스캔쿡 기능을 탑재했다 사용자가 간편식 제품 바코드를 스마트폰 스마트싱스 애플리케이션 앱 으로 스캔하면 각 식품에 최적화된 레시피와 온도 시간 등 세팅 값이 조리기기로 자동 전송된다 오븐과 전자레인지로 쉽게 조리할 수 있도록 조리 알고리즘을 최적화했다 제일제당 식품몰과 연계해 온라인으로 간편하게 쇼핑할 수도 있다 또 자주 하는 요리의 조리법을 나만의 레시피로 저장할 수 있고 음식 취향 등 개인별 데이터에 기반해 맞춤형 레시피와 식단을 추천해준다 제일제당은 올리브네트웍스 및 전자와도 협업한 개인화 식품 레시피 추천 기술 레시픽 도 선보였다 전자는 올 초 미국에서 열린 에서 스마트 냉장고와 소비자를 연결하고 상호작용을 통해 생활 맞춤형 콘텐츠를 제공하는 기술을 검증했다 소개 영상에 따르면 사용자가 냉장고와 연결된 스마트폰으로 냉장고 속 제일제당 비비고 고추소스와 채소 등 식재료를 확인하고 선호하는 메뉴 취향을 반영해 비비고 만두 요리 레시피를 추천 받는다 전자 스마트 냉장고와 연결한 사용자 스마트폰에서 레시픽 서비스로 제일제당 비비고 만두 요리 레시피를 제공받는 모습 사진 전자 제일제당 제공 이번 레시픽 기술은 올리브네트웍스 융합연구소가 전자 인공지능연구소와 협업해 개발했다 제일제당의 각종 요리 레시피와 식재료 사회관계망서비스 식품 리뷰 등 방대한 학습 데이터를 기반으로 한다 로 이미지나 영상을 인식하는 전자의 비전팩 기술을 통해 스마트 냉장고 안에 있는 식재료를 스마트폰으로 확인할 수 있다 자신의 생활 양식에 맞는 레시피 뿐만 아니라 함께 어울리는 식품도 추천 받을 수 있다 앞서 제일제당은 전자와 협력해 지난해 선보인 디오스 김치톡톡 냉장고에 인공지능 맞춤보관 기능을 처음으로 적용하기도 했다 스마트 홈 씽큐 앱으로 비비고 포장김치 바코드를 촬영하면 김치냉장고가 제품을 인식해 가장 적합한 온도와 시간을 설정한다 앱 내 스토어에서 제품을 바로 주문할 수도 있다 이 제품은 출시한 지난해 월 한 달 동안 전년 동기 대비 약 많이 팔리는 등 소비자들의 호응을 얻고 있다 제일제당은 앞으로도 다양한 주방 가전과 협업을 통해 냉장 냉동제품을 최적 상태로 보관하고 조리까지 해주는 기술과 서비스를 확대해 나갈 계획이다 이를 통해 식품 구매부터 식탁에 오르기까지 최적의 맛과 품질을 유지하는 고객 경험과 감동을 선사한다는 방침이다 제일제당 관계자는 최근 집밥 수요 증가와 식문화 변화로 주방 가전제품도 진화하면서 식품기업과 제조사 간 협업 사례가 늘고 있다 며 먹거리와 디바이스 연결 디지털 접목 등 다양한 시도를 통해 최고의 맛 품질과 편리를 제공할 것 이라고 말했다 김범준
