,날짜,기사제목,본문내용
0,2021-05-25,"하이트진로, 이탈리아 명품 '메짜코로나' 와인 출시",하이트진로 대표 김인규 가 이탈리아 메짜코로나 디노떼 레드 블렌드 와인을 출시한다고 일 밝혔다 년에 개의 포도 생산자 조합으로 설립된 년 전통 와이너리 메짜코로나는 이탈리아 동북부 트렌티노 알토 아디제 지방의 돌로미테 산맥에 위치하고 있다 특히 돌로미테는 세계에서 가장 향기로운 화이트 와인 생산지로 유명하며 트렌티노 지역 토착 품종 테롤데고의 세계 최대 생산자이자 이 품종으로 제조한 최초의 와인을 생산 세계적인 경진대회 문두스 비니에서 이탈리아 최고 생산자로 선정된 바 있다 메짜코로나는 테롤데고 마르제미노 메를로 를 블렌딩해 만든 레드 와인으로 레드 커런트 블랙베리 등 풍부한 과즙과 코코아 향이 조화를 이루고 균형감이 뛰어난 것이 특징이다 메짜코로나는 현대백화점 목동점 천호점 판교점 및 현대 프리미엄 아울렛 송도점 신세계백화점 본점 롯데마트 등을 통해 판매될 예정이다
1,2021-05-25,"하이트진로, '금메달 와인' 메짜코로나 디노떼 레드 블렌드 출시",사진 제공 하이트진로 하이트진로 대표 김인규 가 이탈리아 최대 와이너리 메짜코로나가 선보인 와인 메짜코로나 디노떼 레드 블렌드 를 출시한다고 일 밝혔다 메짜코로나는 년에 개의 포도생산자 조합으로 설립된 년 전통 와이너리이다 이탈리아 동북부 트렌티노 알토 아디제 지방의 돌로미테 산맥에 있다 돌로미테는 세계에서 가장 향기로운 화이트 와인 생산지로 유명하다 이 와이너리는 트렌티노 지역의 토착 품종인 테롤데고 의 세계 최대 생산자이자 테롤데고로 만든 최초의 와인을 생산했다 메짜코로나는 테롤데고 마르제미노 메를로 를 블렌딩해 만든 레드와인이다 레드 커런트 블랙베리 등 풍부한 과즙과 코코아향이 조화를 이뤘다 베를린 와인 트로피 에서 금메달을 수상 인터내셔날 와인 챌린지에서 점을 획득했다 메짜코로나는 현대백화점 목동점 천호점 판교점 및 현대 프리미엄 아울렛 송도점 신세계백화점 본점 롯데마트 등을 통해 판매될 예정이다 유태영 상무는 국내에는 자주 소개되지 않았던 새로운 포도 품종을 통해 와인애호가들에게 새로운 경험을 제공하기 위해 메짜코로나를 출시하게 됐다 며 앞으로도 전통있는 와이너리의 고품질 와인을 합리적인 가격에 맛볼 수 있도록 노력하겠다 고 말했다 최기성 매경닷컴 기자
2,2021-05-25,"하이트진로, '메짜코로나 디노떼 레드 블렌드'를 출시",아시아경제 임혜선 기자 하이트진로가 메짜코로나 디노떼 레드 블렌드 를 출시한다고 일 밝혔다 메짜코로나는 년에 개의 포도생산자 조합으로 설립된 년 전통 와이너리이다 이탈리아 동북부 트렌티노 알토 아디제 지방의 돌로미테 산맥에 위치하며 돌로미테는 세계에서 가장 향기로운 화이트 와인 생산지로 유명하다 이 와이너리는 트렌티노 지역의 토착 품종인 테롤데고 의 세계 최대 생산자다 세계적인 와인경진대회 문두스 비니 에서 이탈리아 최고 생산자 로 선정 된 바 있다 메짜코로나는 테롤데고 마르제미노 메를로 를 블렌딩해 만든 레드와인으로 레드 커런트 블랙베리 등 풍부한 과즙과 코코아향이 조화를 이루고 균형감이 뛰어난 것이 특징이다 베를린 와인 트로피 에서 금메달을 수상 인터내셔날 와인 챌린지에서 점을 획득했다 메짜코로나는 현대백화점 및 현대 프리미엄 아울렛 송도점 신세계백화점 본점 롯데마트 등을 통해 판매될 예정이다 임혜선 기자
3,2021-05-25,"하이트진로, 이태리 최대 와이너리 ‘메짜코로나 디노떼 레드 블렌드’ ...",이데일리 전재욱 기자 하이트진로는 이탈리아 최대 와이너리 메짜코로나 의 메짜코로나 디노떼 레드 블렌드 를 출시한다고 일 밝혔다 메짜코로나는 년 개 포도생산자 조합으로 설립된 년 전통 와이너리이다 이탈리아 동북부 트렌티노 알토 아디제 지방의 돌로미테 산맥에 위치하며 돌로미테는 세계에서 가장 향기로운 화이트 와인 생산지로 유명하다 이 와이너리는 트렌티노 지역의 토착 품종인 테롤데고 의 세계 최대 생산자이자 테롤데고로 만든 최초의 와인을 생산했다 세계적인 와인경진대회 문두스 비니 에서 이탈리아 최고 생산자 로 선정 된 바 있다 메짜코로나는 테롤데고 마르제미노 메를로 를 블렌딩해 만든 레드와인으로 레드 커런트 블랙베리 등 풍부한 과즙과 코코아향이 조화를 이루고 균형감이 뛰어난 것이 특징이다 베를린 와인 트로피 에서 금메달을 수상하고 인터내셔날 와인 챌린지에서 점을 획득했다 메짜코로나는 현대백화점 목동점 천호점 판교점 및 현대 프리미엄 아울렛 송도점 신세계백화점 본점 롯데마트 등을 통해 판매될 예정이다 전재욱
4,2021-05-25,"하이트진로, 이탈리아 최대 와이너리 메짜코로나 와인 출시",메짜코로나 디노떼 레드 블렌드 파이낸셜뉴스 하이트진로가 이탈리아 최대 와이너리 메짜코로나의 메짜코로나 디노떼 레드 블렌드 를 출시한다고 일 밝혔다 메짜코로나는 년에 개의 포도생산자 조합으로 설립된 년 전통 와이너리이다 이탈리아 동북부 트렌티노 알토 아디제 지방의 돌로미테 산맥에 위치하며 돌로미테는 세계에서 가장 향기로운 화이트 와인 생산지로 유명하다 이 와이너리는 트렌티노 지역의 토착 품종인 테롤데고 의 세계 최대 생산자이며 테롤데고로 만든 최초의 와인을 생산했다 또 세계적인 와인경진대회 문두스 비니 에서 이탈리아 최고 생산자 로 선정 된 바 있다 메짜코로나는 테롤데고 마르제미노 메를로 를 블렌딩해 만든 레드와인이다 레드 커런트 블랙베리 등 풍부한 과즙과 코코아향이 조화를 이루고 균형감이 뛰어난 것이 특징이다 베를린 와인 트로피 에서 금메달을 수상 인터내셔날 와인 챌린지에서 점을 획득했다 메짜코로나는 현대백화점 목동점 천호점 판교점 및 현대 프리미엄 아울렛 송도점 신세계백화점 본점 롯데마트 등을 통해 판매될 예정이다 하이트진로 유태영 상무는 국내에는 자주 소개되지 않았던 새로운 포도 품종을 통해 와인애호가들에게 새로운 경험을 선사하고자 출시하게 됐다 며 앞으로도 전통있는 와이너리의 고품질 와인을 합리적인 가격에 맛볼 수 있도록 노력하겠다 고 전했다 조지민 기자
