,날짜,기사제목,본문내용
0,2021-05-12,"인바디, 1분기 영업익 102억…전년비 83.4% ↑",헤럴드경제 증권부 인바디는 분기 연결기준 영업이익이 억 만원으로 전년동기대비 증가했다고 일 공시했다 같은 기간 매출액은 억 만원으로 늘어난 것으로 나타났다 당기순이익은 억 만원으로 증가한 것으로 잠정 집계됐다
1,2021-05-12,"인바디, 1분기 영업이익 102억원…전년比 83.4%↑",이데일리 유준하 기자 인바디 는 연결 기준 분기 잠정 영업이익이 억 만원을 기록 전년 동기 대비 증가했다고 일 공시했다 같은 기간 매출액은 억 만원으로 증가했다 유준하
2,2021-05-12,"[특징주]인바디, 6거래일 연속 상승에 1Q 호실적 발표…‘강세’",이데일리 유준하 기자 인바디 가 거래일 연속 상승 흐름에 이어 일 분기 호실적을 발표하자 강세다 일 마켓포인트에 따르면 오후 시 분 기준 인바디 주가는 전 거래일 대비 원 오른 만 원을 기록 중이다 한편 인바디는 연결 기준 분기 잠정 영업이익이 억 만원을 기록 전년 동기 대비 증가했다고 일 공시했다 같은 기간 매출액은 억 만원으로 증가했다 유준하
