negative,neutral,positive
58.928643315999985,11.109235132,108.886096904
13.273064684000001,1.173559561,40.530222695
45.797057349,7.347197802999999,68.59368396799998
7.600813008,1.630894309,27.958536584999997
32.44956595199999,2.712334245,72.063132656
18.990367620999997,2.4759985870000003,15.576758571000003
47.809571295999994,10.760739047999998,44.950990324999985
4.506097561,1.1317073169999998,24.08902439
87.81720348800002,7.662291089999999,71.97735222899998
5.640476190999999,2.3333333339999998,8.026190475
3.452898551,0.416666667,5.0434782600000005
25.215562946,2.8215153270000006,20.382552533000002
30.214647196,4.125361482000001,24.336032386
24.949171082,2.8814569180000005,20.165163071000006
38.779329456999996,3.6859652670000003,39.302837294
19.664715718,0.780657748,31.934225195
2.5,0.0,1.0
48.083121244,5.302810182,46.42386002
62.98563834900002,9.987773609,74.53281067599998
36.53414634200001,2.4642276420000004,34.891869918
28.76476557099999,6.305745053,39.408902336
33.784415581999994,5.7348484850000006,39.16255411400001
19.739430894999998,1.76504065,36.189024389
31.82128340599999,3.6195327990000004,48.287722463
14.098561601000002,5.453033146,29.318230143000005
12.116666666,3.000000001,18.216666666000002
22.08745049,7.3863664799999995,47.362674587
55.421926746000004,8.811302097,66.94679399199997
26.530265713,11.295313969000002,55.196956646999986
66.54905912800001,2.878756293,32.572414095
52.504827331,3.183727519,44.532519543999996
33.882332438999995,2.218692554,38.775998523
20.160877060999997,0.411813254,25.911431388
5.742424242999999,1.431818182,5.643939395
49.230929739,1.6947905279999995,65.998736582
25.967365018999995,1.8551698980000002,39.49899937400001
50.85943865999999,3.0648464000000004,67.52966153300001
5.444444443999999,0.444444444,13.333333333
5.051991281,1.759485094,15.794096853000001
6.161924119,0.7920054190000001,7.158536585
78.465164238,4.144006668000001,119.42668482999997
4.184782609,0.25,1.52173913
4.518115942,1.1666666669999999,7.27173913
9.798290598,0.264957265,2.748717948
6.0,0.0,0.0
3.0,0.0,0.0
8.0,0.0,3.0
5.0,0.0,1.0
5.333333333000001,0.166666667,3.5
10.903220762,1.6300812999999998,14.833176986
13.483519189,6.8649491440000014,48.54746432099999
1.9166666660000002,0.75,9.958333333
12.716563921999999,1.914227642,34.015862593
30.83129260899999,2.265605622,44.812416912
30.368665394000004,4.783333334,41.150676857
3.268115942,0.666666667,4.02173913
4.268115942,0.666666667,4.02173913
7.559322034,0.033898305,6.105932203
1420.7276406649996,179.47818348099995,1863.4402331959998
