,날짜,기사제목,본문내용
0,2021-05-08,지난 1분기 전기차 판매 1위는 테슬라…현대차·기아는?[ TNA],대 중 대는 테슬라 현대차그룹 아이오닉 이연수요로 위 밖 밀려나 세일즈 자료 헤럴드경제 원호연 기자 지난 분기 글로벌 시장에서 전기차 판매 위는 테슬라로 집계됐다 아이오닉 와 를 공개한 현대차 기아는 위권 밖으로 밀려났다 지난 일 현지시간 전기차 판매량 전문 매체 세일즈의 집계에 따르면 지난 분기 전기차 판매량 순위에서 테슬라가 위를 차지했다 총 만 대를 판매한 테슬라의 시장 점유율은 였다 위는 만 대를 판매해 를 차지한 상하이자동차 로 나타났다 위 상하이차와 위 폭스바겐그룹의 차이는 다소 컸다 폭스바겐그룹은 만 대를 판매해 를 점유했다 위권에는 위 만 대 위 스텔란티스 만 대 가 이름을 내밀었다 는 새로운 인산철 배터리를 탑재한 모델을 본격적으로 출시하면서 현대차와 기아는 각각 아이오닉 와 를 공개했지만 본격적인 고객인도와 출시가 분기에 이뤄지지 않으면서 위권 밖으로 밀려났다 기반의 전용 전기차 모델을 기다리는 대기수요로 인해 기존 모델 판매가 부진했던 것으로 보인다 다만 반도체 부족과 구동모터 생산차질로 아이오닉 의 월별 생산 목표가 만대에서 대로 줄어들면서 올해 점유율 회복을 점치기가 힘들어졌다 르노 닛산 얼라이언스 역시 동맹 간 갈등으로 인해 순위권에서 사라졌다
1,2021-05-08,현대차 ‘AX1’ 티저 이미지 주목…경차 시장 살릴까 [TNA],독특한 원형 와 패턴 적용한 후방 미등 경차 플랫폼 리터 엔진 탑재 예상 현대 티저 이미지 출처 헤럴드경제 정찬수 기자 현대자동차의 경형 스포츠유틸리티차 코드명 의 티저 이미지가 눈길을 끌고 있다 현대차의 가장 작은 로 하반기 출시 예정인 해당 모델이 경차 바람을 다시 불러올 수 있을 지 주목된다 공개된 의 티저 이미지는 총 장으로 원형 와 독특한 패턴으로 구성된 후방 미등으로 구성됐다 이에 대해 외신들은 현대차의 디자인 철학이 가미된 미래지향적인 디자인이라고 분석했다 특히 후방 미등 디자인은 그간 위장막에 가려졌던 단조로운 패턴을 벗어나 모델의 정체성을 나타내는 독특한 디자인 포인트가 될 것이라는 해석도 내놨다 은 광주 빛그린 산업단지 내에 조성된 광주글로벌모터스 에서 생산될 것으로 알려졌다 소형 베뉴 보다 작은 차체로 국내보다 신흥국 수출을 염두에 둔 것이 특징이다 가 현대가 선보였던 시리즈 의 후속이라는 분석이 제기된다 은 지난 년 출시 이후 유럽과 인도 시장에 출시된 전략 모델로 세대는 인도에서 세대는 터키 등에서 판매됐다 국내 출시 여부는 미정이지만 이 시장에 등장할 경우 대형화 추세인 국내 완성차 업계에 또 다른 선택지가 될 것으로 보인다 모닝 레이 쉐보레 스파크 등 국내에서 판매 중인 경차가 손에 꼽을 정도로 적어서다 더 타임스 오브 인디아 는 의 전장은 약 로 리터 기통 가솔린 엔진을 사용할 것으로 예상된다 며 해당 모델이 인도에 출시되면 마힌드라 과 스즈키 마루티 프레쏘 등과 경쟁하게 될 것 이라고 전했다 현대 티저 이미지 출처
2,2021-05-08,국산 자동차회사 브랜드 평판 1위는 '현대차',아시아경제 이창환 기자 일 한국기업평판연구소는 국산 자동차 기업 개 브랜드의 지난 한 달간 빅데이터 평판을 분석한 결과 위는 현대차 위 기아 위 쌍용차 순으로 분석됐다고 밝혔다 이는 지난달 일부터 이달 일까지의 국산 자동차 기업 브랜드 빅데이터 만 개를 분석한 결과다 위는 한국 위는 르노삼성자동차였다 국산 자동차 기업 브랜드평판은 참여지수 미디어지수 소통지수 커뮤니티지수 사회공헌지수 등으로 세분화해 조사됐다 위 현대차 브랜드평판지수 만 로 지난달 브랜드평판지수 과 비교하면 하락했다 위 기아의 브랜드 평판지수는 만 로 전월 대비 떨어졌다 쌍용차는 만 으로 전월 대비 상승했으며 한국 은 만 로 올랐다 르노삼성차는 만 로 하락했다 이창환 기자
