negative,neutral,positive
8.422764227,2.5650406500000003,11.93902439
60.214724976999996,8.307046072000002,61.607267931999985
4.5447154460000005,1.8658536579999998,10.886178862000001
20.576610378999998,5.065040651,30.208255161
21.777813488,6.012144267,32.292941864
20.905201164999994,3.85704607,39.366791746000004
55.503766477,4.033898305,23.744821091
20.306524910999997,9.248801336,59.91851156599999
39.020195308000005,6.291043157000001,31.737144686999997
47.94627000899998,8.368419882000001,53.599113692
28.599401395999994,1.086676083,35.985297284
22.918423903000004,7.48240946,38.511083791999994
20.311724020999996,4.682418438000001,34.942292516
8.936631714999999,2.856514713,15.158592958000002
23.162971092999996,5.0834794830000005,32.814002589
23.162971092999996,5.283479483000001,33.614002589
21.160901904999996,1.8026422749999995,58.084387561999996
11.665419593000001,5.265605624000001,38.611623259
11.665419593000001,5.265605624000001,42.611623259
71.14894117099999,9.325255367999999,53.476304675
6.669345423,7.079997917000001,26.745861996000002
6.039953542999999,3.4825203250000003,14.940940766
24.315770269999994,6.125338752999999,35.927767355
23.321867830999995,4.773712737,40.033458413000005
27.08573531999999,5.148520133,40.75302698
64.729598045,8.239619859999998,59.15370965899999
33.223636993999996,1.6666666669999999,18.305348512000002
49.809639406999985,11.167174562000001,71.525664375
777.1469387029999,151.43197155299998,1046.4950395300002
