,날짜,기사제목,본문내용
0, 2021.03.07 13:34,이재용 부회장 '삼성합병 의혹' 재판 11일 재개,삼성그룹 불법 합병 및 회계부정 의혹으로 기소된 이재용 삼성전자 부회장의 재판이 이번 주 재개된다 첫 준비기일이 열린 지 개월 만이다 일 법조계에 따르면 서울중앙지법 형사합의 부 부장판사 박정제 박사랑 권성수 는 오는 일 오후 시 자본시장과 금융투자업에 관한 법률 위반 등 혐의로 재판에 넘겨진 이 부회장과 삼성그룹 관계자들의 두 번째 공판준비기일을 연다 이재용 삼성전자 부회장 연합뉴스 검찰은 삼성그룹 미래전략실이 이 부회장의 안정적인 경영권 승계를 위해 삼성물산 제일모직 합병을 계획했다고 보고 이 부회장을 비롯한 삼성 관계자 명을 지난해 월 재판에 넘겼다 이 부회장은 자본시장법상 부정거래행위 및 시세조종 업무상배임 등 혐의를 받고 있다 이에 대해 이 부회장 측은 합병은 경영상 필요에 의해 이뤄진 합법적인 경영 활동이었다 며 혐의를 부인하고 있다 앞서 첫 공판준비기일은 지난해 월 열렸지만 이 부회장 측이 사건 기록이 방대해 검토할 시간이 필요하다 고 요구해 두 번째 준비기일이 올 월로 미뤄졌다 그러나 올해 초 코로나 재확산과 법원 정기 인사 등을 이유로 재판이 연기되면서 약 개월 만에 다시 열리게 됐다 재판을 맡은 형사합의 부는 부장판사 명으로 구성된 대등재판부로 앞서 이 부회장 사건을 심리해온 전 재판장 임정엽 부장판사와 김선희 부장판사는 지난달 전보됐다 새로운 재판장은 박정제 부장판사가 판결문 초안을 작성하는 주심은 박사랑 부장판사가 맡는다 한편 이 부회장은 지난 월 국정농단 사건 파기환송심에서 징역 년 개월을 선고받고 서울구치소에서 복역 중이다 공판준비기일은 피고인의 출석 의무가 없어 이 부회장이 직접 이날 법정에 직접 나오지는 않을 것으로 보인다 이재은 기자
1, 2021.03.07 13:09,삼성전자 주주총회 전자투표시스템 오픈‥16일까지 투표,김기남 삼성전자 대표이사 부회장이 경기도 수원시 영통구 수원컨벤션센터에서 열린 삼성전자 제 기 정기주주총회에서 발언을 하고 있다 뉴스 조태형 기자 사진 뉴스 파이낸셜뉴스 오는 일 정기주주총회를 앞둔 삼성전자가 주주총회에 참석하지 않아도 의결권을 행사할 수 있는 전자투표시스템을 일 열었다고 밝혔다 주주들은 이날 오전 시부터 일 오후 시까지 전자투표를 통해 주총에 참석하지 않아도 사전에 각 의안에 대해 의결권을 행사할 수 있다 삼성전자는 지난해부터 전자투표 제도를 도입했다 전자투표는 주주들이 주총 개최 일자나 장소 등 시간적 물리적 제약에 상관없이 쉽고 간편하게 의결권을 행사할 수 있도록 마련됐다 주주들은 나 모바일 중 본인이 편한 방식으로 시스템에 접속해 주주 본인 확인 후 의안별 전자투표를 행사할 수 있다 주주확인용 인증서로는 코스콤 증권거래용 인증서나 금용결제원 개인용도제한용 인증서 등을 이용할 수 있다 앞서 삼성전자가 주주들에게 발송한 제 기 정기주주총회 소집통지서에서 박재완 이사회 의장과 김기남 대표이사 부회장은 올해도 코로나 로 주주총회 참석에 어려움이 예상된다 며 가급적 전자투표를 활용해 의결권을 행사해 달라 고 주주들에게 당부한 바 있다 삼성전자는 주주총회에 참석하지 못하는 주주들을 위해 올해 처음으로 주주총회를 온라인으로 중계한다 온라인 중계 시청을 위해서는 사전 신청이 필요하며 주주들은 신청 사이트에서 전자투표 행사 기간과 같은 월 일 오전 시부터 일 오후 시까지 신청할 수 있다 삼성전자는 온라인 중계를 시청할 주주들을 위해 사전 질문을 접수할 예정이며 주주들은 주총 당일 중계를 지켜보며 실시간으로도 질문을 할 수 있다 삼성전자의 이번 주주총회 안건은 재무제표 승인 사외 사내이사 선임 감사위원회 위원이 되는 사외이사 선임 이사 보수한도 승인 등이다 단 현행법상 주총 당일 온라인 중계를 시청하면서 주총 안건에 대해 온라인으로 투표하는 것은 불가능하다 삼성전자는 오는 일 경기도 수원컨벤션센터에서 제 기 정기주주총회를 개최한다 김서원 기자
2, 2021.03.07 12:10,"삼성전자, 정기주총 전자투표시스템 오픈",사진 연합뉴스 헤럴드경제 양대근 기자 삼성전자는 오는 일 경기도 수원컨벤션센터에서 열리는 제 기 정기주주총회를 앞두고 주주들이 온라인으로 의결권을 행사할 수 있는 전자투표시스템을 일 오픈했다고 밝혔다 주주들은 일 오전 시부터 일 오후 시까지 전자투표를 통해 주총에 참석하지 않아도 사전에 각 의안에 대해 의결권을 행사할 수 있다 삼성전자는 지난해부터 전자투표 제도를 도입했다 전자투표는 주주들이 주총 개최 일자나 장소 등 시간적 물리적 제약에 상관없이 쉽고 간편하게 의결권을 행사할 수 있도록 마련됐다 주주들은 나 모바일 중 본인이 편한 방식으로 시스템에 접속해 주주 본인 확인 후 의안별 전자투표를 행사할 수 있다 주주확인용 인증서로는 코스콤 증권거래용 인증서나 금용결제원 개인용도제한용 인증서 등을 이용할 수 있다 앞서 삼성전자가 주주들에게 발송한 제 기 정기주주총회 소집통지서에서 박재완 이사회 의장과 김기남 대표이사 부회장은 올해도 코로나 로 주주총회 참석에 어려움이 예상된다 면서 가급적 전자투표를 활용해 의결권을 행사해 달라 고 주주들에게 당부했다 삼성전자는 주주총회에 참석하지 못하는 주주들을 위해 올해 처음으로 주주총회를 온라인으로 중계한다 온라인 중계 시청을 위해서는 사전 신청이 필요하며 주주들은 신청 사이트에서 전자투표 행사 기간과 같은 월 일 오전 시부터 일 오후 시까지 신청할 수 있다 삼성전자는 온라인 중계를 시청할 주주들을 위해 사전 질문을 접수할 예정이며 주주들은 주총 당일 중계를 지켜보며 실시간으로도 질문을 할 수 있다 삼성전자의 이번 주주총회 안건은 재무제표 승인 사외 사내이사 선임 감사위원회 위원이 되는 사외이사 선임 이사 보수한도 승인 등이다 단 현행법상 주총 당일 온라인 중계를 시청하면서 주총 안건에 대해 온라인으로 투표하는 것은 불가능하다
3, 2021.03.07 09:15,"삼성전자, 정기주총 전자투표시스템 오픈…오늘부터 의결권 행사",오늘부터 전자투표 통해 사전 의결권 행사 주총 온라인 중계도 사전 신청 접수 시작 이데일리 피용익 기자 삼성전자 는 제 기 정기주주총회를 앞두고 주주들이 온라인으로 의결권을 행사할 수 있는 전자투표시스템을 오픈했다고 일 밝혔다 삼성전자 주총은 오는 일 오는 일 경기도 수원컨벤션센터에서 열린다 주주들은 일 오전 시부터 일 오후 시까지 전자투표를 통해 주총에 참석하지 않아도 사전에 각 의안에 대해 의결권을 행사할 수 있다 삼성전자는 지난해부터 전자투표 제도를 도입했다 전자투표는 주주들이 주총 개최 일자나 장소 등 시간적 물리적 제약에 상관없이 쉽고 간편하게 의결권을 행사할 수 있도록 마련됐다 주주들은 나 모바일 중 편한 방식으로 시스템에 접속해 주주 본인 확인 후 의안별 전자투표를 행사할 수 있다 주주확인용 인증서로는 코스콤 증권거래용 인증서나 금용결제원 개인용도제한용 인증서 등을 이용할 수 있다 앞서 삼성전자가 주주들에게 발송한 제 기 정기주주총회 소집통지서에서 박재완 이사회 의장과 김기남 대표이사 부회장은 올해도 코로나 로 주주총회 참석에 어려움이 예상된다 면서 가급적 전자투표를 활용해 의결권을 행사해 달라 고 주주들에게 당부했다 삼성전자는 주주총회에 참석하지 못하는 주주들을 위해 올해 처음으로 주주총회를 온라인으로 중계한다 온라인 중계 시청을 위해서는 사전 신청이 필요하며 주주들은 신청 사이트에서 일 오전 시부터 일 오후 시까지 신청할 수 있다 삼성전자는 온라인 중계를 시청할 주주들을 위해 사전 질문을 접수할 예정이며 주주들은 주총 당일 중계를 지켜보며 실시간으로도 질문을 할 수 있다 삼성전자의 이번 주주총회 안건은 재무제표 승인 사외 사내이사 선임 감사위원회 위원이 되는 사외이사 선임 이사 보수한도 승인 등이다 단 현행법상 주총 당일 온라인 중계를 시청하면서 주총 안건에 대해 온라인으로 투표하는 것은 불가능하다 피용익
4, 2021.03.07 09:14,삼성전자 주총 의결권 행사 전자투표 '오픈'…사상 첫 온라인 중계,이미지출처 연합뉴스 아시아경제 김혜원 기자 삼성전자는 오는 일 경기도 수원컨벤션센터에서 열리는 제 기 정기주주총회를 앞두고 주주들이 온라인으로 의결권을 행사할 수 있는 전자투표시스템을 일 오픈했다고 밝혔다 주주들은 이날 오전 시부터 일 오후 시까지 전자투표를 통해 사전에 각 의안에 대해 의결권을 행사할 수 있다 다만 현행법상 주총 당일 온라인 중계를 시청하면서 주총 안건에 대해 온라인으로 투표하는 것은 불가능하다 삼성전자는 지난해부터 전자투표 제도를 도입했다 전자투표는 주주들이 주총 개최 일자나 장소 등 시간적 물리적 제약에 상관없이 쉽고 간편하게 의결권을 행사할 수 있도록 마련됐다 주주들은 나 모바일 중 본인이 편한 방식으로 시스템에 접속해 주주 본인 확인 후 의안별 전자투표를 행사할 수 있다 주주확인용 인증서로는 코스콤 증권거래용 인증서나 금용결제원 개인용도제한용 인증서 등을 이용할 수 있다 앞서 삼성전자가 주주들에게 발송한 제 기 정기주주총회 소집통지서에서 박재완 이사회 의장과 김기남 대표이사 부회장은 올해도 코로나 로 주주총회 참석에 어려움이 예상된다 면서 가급적 전자투표를 활용해 의결권을 행사해 달라 고 주주들에게 당부했다 삼성전자는 주주총회에 참석하지 못하는 주주들을 위해 올해 처음으로 주주총회를 온라인으로 중계한다 온라인 중계 시청을 위해서는 사전 신청이 필요하며 주주들은 신청 사이트에서 전자투표 행사 기간과 같은 이날 오전 시부터 일 오후 시까지 신청할 수 있다 삼성전자는 온라인 중계를 시청할 주주들을 위해 사전 질문을 접수할 예정이며 주주들은 주총 당일 중계를 지켜보며 실시간으로도 질문할 수 있다 삼성전자의 이번 주주총회 안건은 재무제표 승인 사외 사내이사 선임 감사위원회 위원이 되는 사외이사 선임 이사 보수한도 승인 등이다 김혜원 기자
