,날짜,기사제목,본문내용
0,2021-04-23,"기아, 1·4분기 실적 컨센서스 하회-삼성",파이낸셜뉴스 삼성증권은 일 기아의 올해 분기 실적이 컨세서스를 하회했다고 봤다 투자의견은 매수 목표주가는 만원을 각각 유지했다 기아는 전날 올 분기 경영실적 발표를 통해 매출 조 억원 영업이익 조 억원을 기록했다고 밝혔다 매출은 전년 동기 대비 증가했고 영업이익은 늘어났다 임은영 삼성증권 연구원은 기아의 올 분기 실적은 영업이익 컨센서스를 하회했다 며 기아의 이달 월 실적은 자신감 회복의 근거가 될 전망 이라고 평가했다 임 연구원은 기아는 분기에 초과 수요 대응을 위해 필요 생산대수는 만 만대이지만 현재 생산 예상 대수는 만대로 차질을 빚고 있는 상황 이라고 설명했다 임 연구원은 차량용 반도체 부족은 월 생산 차질이 예상되고 월 완화 및 분기 정상화 또는 초과생산을 예상한다 고 말했다 강구귀 기자
1,2021-04-23,"기아, 1Q 영업益 컨세서스 하회…4월 실적은 회복 근거-삼성",이데일리 양희동 기자 삼성증권은 일 기아 의 올해 분기 실적이 컨세서스를 하회했지만 이달 들어 가동률이 상승했다고 분석했다 투자의견은 매수 목표주가는 만원을 각각 유지했다 기아의 현재 주가는 지난 일 종가 기준 만 원으로 상승여력은 다 기아는 전날 올 분기 경영실적 발표를 통해 매출 조 억원 영업이익 조 억원을 기록했다고 밝혔다 매출은 전년 동기 대비 증가했고 영업이익은 늘어나 수익성이 크게 개선된 것으로 나타났다 임은영 삼성증권 연구원은 기아의 올 분기 실적은 영업이익 컨센서스를 하회했다 며 기아의 이달 월 실적은 자신감 회복의 근거가 될 전망 이라고 평가했다 기아는 제조업 실적 서프라이즈의 필요조건인 가동률이 상승하고 있다 임 연구원은 기아는 분기에 초과 수요 대응을 위해 필요 생산대수는 만 만대이지만 현재 생산 예상 대수는 만대로 차질을 빚고 있는 상황 이라면서도 월 만대 수준의 생산 판매와 인센티브 축소가 확인되면 초과수요 유지에 대한 자신감이 회복되고 있다 고 분석했다 기아는 중국 제외 글로벌 도매판매 만대 매출액 증가 등 믹스도 향상되고 있다 비중 포인트 로 지속 상승 원 달러 환율은 원으로 감소 내수 만원 수출 만 달러 등이다 또 기아의 전분기 대비 매출총이익률은 하락했고 가동률은 생산 만 대로 전분기 대비 감소했다 임 연구원은 누우엔진 리콜이 분기 반영 예정으로 피스톤 오일링 누수문제 북미차량 쏘울 및 셀토스 만 대 라며 엔진 교체보다는 수리로 대응이 가능해 비용은 미미할 전망 이라고 말했다 이어 차량용 반도체 부족은 월 생산 차질이 예상되고 월 완화 및 분기 정상화 또는 초과생산을 예상한다 며 미국시장 기준 일 재고와 인센티브 하락 지속은 초과 수요의 근거이며 분기 인센티브는 대당 달러 쏘렌토 및 카니발 판매호조로 추가 하락을 예상한다 고 덧붙였다 양희동
2,2021-04-23,삼성표 OTT 'TV플러스' 돌풍…출시 일주일만에 2백만 다운로드,머니투데이 박효주 기자 모바일에서 무료 영상 콘텐츠를 제공하는 삼성 플러스 앱 화면 사진 삼성전자 삼성전자 모바일 온라인동영상서비스 앱 삼성 플러스 가 출시 주일만에 만 다운로드를 기록하며 폭발적 인기를 모으고 있다 무료인데다 다양한 콘텐츠를 즐길 수 있다는 장점이 부각된 것으로 보인다 일 관련업계에 따르면 지난 일 출시된 삼성 플러스 앱 다운로드는 만건을 돌파했다 출시 일주일만에 기록한 다운로드 수로는 상당히 고무적이다 삼성 플러스는 삼성스마트 에서 제공해온 서비스로 인터넷에 연결된 로 영화 예능 뉴스 스포츠 어린이 등 다양한 콘텐츠를 무료로 즐길 수 있는 채널형 비디오 서비스다 지난 년 처음 출시된 이후 지난 월 말 기준 개국에서 활발히 이용되고 있다 삼성 플러스 모바일 앱은 생방송 추천 마이 등 개의 탭으로 구성되었고 현재 개 채널을 스트리밍 방식으로 언제든지 시청 가능할 수 있도록 무료로 제공한다 생방송에서는 뉴스 시리즈 엔터테인먼트 스포츠 영화 음악 어린이 등 장르별로 인기 콘텐츠를 실시간으로 볼 수 있다 추천은 선별된 방송 채널 영화 등 콘텐츠와 함께 최근 시청한 채널을 제공한다 마이 플러스는 사용자가 즐겨 찾기 등록한 채널 시청 예약한 채널 시청 중인 채널 목록 등을 보여준다 특히 편성표 형태의 사용자환경 으로 채널선택과 시청이 용이한 것도 장점이다 이에 이용자들은 무료인데도 생각보다 콘텐츠가 많다 태블릿에서 이용하기 너무 좋다 사라지지 않고 서비스 되면 좋겠다 등 호평이 나오고 있다 에서 제공하던 콘텐츠 경험을 모바일로 확대한 것인데 기기 간 경계 없이 서비스를 제공함으로써 자사의 생태계로 사용자를 유인하기 위한 목적으로 풀이된다 삼성 플러스 모바일 앱은 지난해 월 미국에서 처음으로 선보였고 한국을 포함해 영국 독일 캐나다 인도 등에도 지난 일 동시 출시됐다 삼성전자는 지속해서 서비스 국가를 확대하고 채널도 확대한다는 계획이다 삼성 플러스 서비스는 안드로이드 이상 기기에서 대부분이 이용이 가능하며 구글 플레이스토어와 갤럭시스토어에서 내려받을 수 있다 이원진 삼성전자 무선사업부 서비스 팀 부사장은 삼성 플러스 모바일 앱은 다양한 콘텐츠를 편리하게 시청할 수 있는 새로운 플랫폼 이라며 지속적인 콘텐츠 확대로 갤럭시 사용자에게 즐거움을 줄 것 이라고 말했다 박효주 기자
