,날짜,기사제목,본문내용
0,2021-05-13,"[속보] 삼성전자, 8만원선 붕괴",파이낸셜뉴스 삼성전자는 일 오전 시 분 유가증권시장에서 전 거래일 대비 하락한 만 원에 거래되고 있다 전일 종가 기준 만원에 거래됐던 삼성전자의 주가는 최근 거래일 연속 하락세다 최두선 기자
1,2021-05-13,"삼성전자, 이틀 연속 8만원선 붕괴···‘칠만전자' 되나",삼성전자 주가가 이틀 연속으로 만원선을 내줬다 삼성전자 서초 사옥 일 오전 시 삼성전자는 만 원에 거래를 시작했다 전날 종가는 만원이었다 삼성전자는 전날인 일에도 장중 한 때 만 원까지 하락했다 삼성전자가 만원선을 내준 것은 지난해 월 일 이후 처음이다 노자운 기자
2,2021-05-13,"'수직상승'하는 글로벌 D램 매출…삼성·SK, 슈퍼호황 시동",머니투데이 오문영 기자 글로벌 램 매출액이 올해 분기에 전분기 대비 상승할 것이라는 전망이 나왔다 모바일과 용을 비롯해 데이터센터에 들어가는 서버용 램까지 전분야에 걸쳐 수요가 증가하고 있기 때문이다 낸드플래시 값도 반등세에 올라타면서 메모리반도체 시장이 본격적으로 호황기에 진입할 것이라는 관측이 업계에서 나온다 일 시장조사업체 트렌드포스에 따르면 올해 분기 램 글로벌 매출은 억 만 달러 약 조 억원 로 전분기 약 조 억원 와 비교해 증가했다 트렌드포스는 코로나 여파로 재택근무와 원격교육이 확산하면서 램 수요가 예상치를 웃돌았다고 분석했다 여기에 오포와 비보 샤오미 등 중국 스마트폰 업체들이 화웨이에 대한 미국의 규제로 공백이 생긴 시장을 차지하기 위해 부품 조달을 확대한 점도 수요 증가에 기여했다고 덧붙였다 분기 이후에도 견조한 수요가 이어질 것으로 분석했다 와 모바일 그래픽 등 전분야의 램에 대한 수요가 양호하고 램 가격 또한 오를 것으로 봤다 상승 지속에 대비해 업체들이 재고 확보 차원에서 신규 조달에 나설 것이란 판단이다 트렌드포스는 분기에 램 평균판매단가 가 전분기 대비 크게 증가할 것으로 예상된다 면서 비트 출하량 증가와 함께 가격 상승으로 분기 램 매출액도 이상 증가할 것 이라고 말했다 점진적으로 회복하고 있는 서버 제조업체의 램 수요도 매출액 증가를 견인하는 요소다 트렌드포스는 서버 제조업체는 램값이 지속적으로 상승할 것을 예상하면서 신규 조달 계획을 실행에 옮기기 시작했다 며 이에 따라 평균판매단가가 크게 증가할 것 이라 말했다 서버용 램은 페이스북 애플 아마존 넷플릭스 구글 으로 불리는 글로벌 클라우드서비스업체의 데이터센터 서버를 구축하는 데 필수적으로 들어가는 부품이다 서버용 램은 용에 비해 고부가가치인 서버용 램은 년 반도체 슈퍼호황기와 지난해 코로나 상황에서 삼성전자의 역대급 실적을 이끌었던 제품이다 공급 과잉으로 년부터 하락세를 면치 못했던 낸드플래시 가격도 반등세에 올라서자 업계에서는 메모리반도체 시장의 장기호황이 다시 시작될 것이라는 관측이 나온다 삼성전자와 하이닉스도 최근 분기 실적 발표 이후 진행된 컨퍼런스콜 전화회의 에서 향후 메모리반도체 업황을 긍정적으로 전망했다 램의 비트그로스 비트 단위 생산량 증가율 가 연간 낸드는 중반 수준이 될 것이라 봤다 양사는 슈퍼사이클 장기화를 염두에 두고 기회를 극대화하기 위한 작업을 추진하고 있다 삼성전자는 최근 평택 캠퍼스 신규 생산라인을 조기 가동하기 위해 설비 반입에 속도를 내고 있다 평택 캠퍼스 양산 일정을 앞당기는 방안도 고심하고 있는 것으로 알려졌다 하이닉스도 업황 개선세에 맞춰 선제적 투자를 예고했다 길어지는 장비 리드타임과 셋업 기간을 고려해 내년 투자분 일부를 올해 하반기에 당겨 집행하겠다는 것이다 램의 경우 주력인 나노급 세대 제품의 생산량을 늘리고 극자외선 장비를 활용해 연내 세대 제품 양산을 시작할 계획이다 오문영 기자
3,2021-05-13,한미 정치권 반도체-백신확보 전쟁...그 사이에 낀 '삼성',머니투데이 오동희 산업 부 선임기자 년 월 일 산시성 시안시에서 진행된 메모리 반도체 공장 준공식에는 산시성 성위서기 자오정용 산시성 성장 러우친젠 공신부 부장 먀오웨이 국가발개위 부주임 쉬셴핑 권영세 주중 한국대사 전재원 주시안 총영사 그리고 권오현 부회장 등 삼성전자 경영진이 참석했다 사진제공 삼성전자 뉴스룸 삼성이 반도체와 백신 확보를 위한 한미 정치권의 압박 사이에서 고심하고 있다 기업 스스로 독립적인 경영전략을 구사할 여지가 줄어든데 따른 고민이다 전세계 자동차용 반도체와 백신 확보 전쟁이 벌어지면서 국내외 정치권이 직접 해결할 수 없는 문제에 대해 도움 요청을 넘어 압박해오는 것에 대한 부담감도 크게 느끼고 있다 현장에선 경영상 필요에 의해서가 아니라 정치적 필요성에 의한 요구에 곤혹스러워하는 분위기다 일례로 최근 미국 바이든 정부가 반도체 및 배터리 업체들에 대한 압박에 나서거나 화이자 백신 확보와 관련한 정치권발 압력이 삼성바이오로직스의 화이자 백신 위탁 생산 루머로까지 퍼진데 대한 부담이다 삼성바이오로직스는 지난 일 오전 화이자 백신을 이르면 오는 월부터 생산할 것 이라는 정치권발 풍문 보도에 곤욕을 치렀다 삼성바이오로직스는 이날 오전 한국거래소 개장 전에 풍문 또는 보도에 대한 해명 이라는 공시를 통해 금일 일 자 신문이 보도한 삼성바이오 화이자 백신 만든다 면 면 은 사실이 아닙니다 라고 밝혔다 정치권 취재원의 입을 빌어 나온 이 보도에 대해 개장 전 부인공시에도 불구하고 삼성바이오로직스 주가는 장중 가량 치솟는 등 혼란을 겪었다 삼성바이오로직스에 정통한 소식통은 정치권 관계자의 입을 빌어 보도된 내용은 정치권의 바람을 얘기한 것이 아닌가 싶다 며 삼성에게 화이자 백신 생산물량을 수주해오라는 압박으로 들린다 고 지적했다 그는 일부에서는 화이자와의 비밀유지협약 때문에 부인공시 를 한 것 아니냐고 하는데 만약 그랬다면 사실무근 이라고 표현하는 게 아니라 풍문에 대해 답변 드릴 수 없다 고 했을 것 이라며 이같이 말했다 기업의 글로벌 네트워크를 활용해 백신물량 확보에 나서라는 정치권의 압박으로 받아들이는 해석이다 워싱턴 뉴시스 일 현지시간 미국 워싱턴 백악관 루즈벨트룸에서 열린 반도체 공급망 복원에 관한 최고경영자 화상 회의에 참석해 실리콘 웨이퍼를 들고 있다 바이든 대통령은 삼성전자 등이 참석한 이번 회의에서 기업에 대한 압박은 국내에서뿐만 아니라 미국 등 해외에서 지속되고 있다 지난달 조 바이든 미국 대통령에 이어 오는 일 현지시간 에는 지나 레이먼도 미국 상무장관이 삼성전자 등 반도체 관련 기업과 자동차 업체들을 온라인으로 불러 화상회의를 열 예정이다 제너럴모터스 등 자국 자동차 업체들의 반도체 부품 부족에 대한 문제를 논의할 목적으로 보인다 문제는 삼성전자가 메모리반도체 세계 위 기업이고 반도체위탁생산 파운드리 위 기업이긴 하지만 현재 공급부족을 겪고 있는 자동차용 반도체와는 무관하다는 점이다 반도체 업계의 정통한 소식통은 미국 정부가 어떤 요구를 할지는 모르지만 단적으로 현재 문제가 되고 있는 자동차용 반도체 공급부족과 관련해선 삼성전자가 할 수 있는 얘기가 거의 없을 것 이라고 했다 최첨단 공정으로 반도체를 생산하는 삼성전자 입장에서는 수익성이 떨어지고 회로공정 기술의 난이도가 낮은 자동차용 반도체에 신경을 쓸 여력이 없기 때문이다 이 관계자는 삼성전자가 가진 기술력이 있어서 그나마 어느 정도의 요구는 견딜 수 있지만 미 정치권의 요구를 무턱대고 무시하기는 힘든 게 기업들의 부담이다 라고 말했다 배상근 전국경제인연합회 전무는 바이든 행정부 같은 경우 다른 나라 투자기업들에게 행정부가 갖고 있는 규제적 권능이 크고 특히 국가 수반 바이든 대통령 이 요청했을 경우 기업이 부담을 가지는 게 굉장히 크다 고 말했다 기업이 거부하기 힘든 압박이라는 얘기다 배 전무는 우리 기업은 다른 나라 대기업과 달리 사업보국 등에 대한 기업가 정신이 강해 가능하면 할려고 노력하지만 정치권의 요구가 무리한 경우 기업경영의 큰 전략에 차질을 갖고 올 수 있다 고 우려했다 나 등에 대한 배터리 시설투자 압박도 마찬가지다 필요에 의한 투자는 할 수 있지만 수요를 감안하지 않고 미국 정부의 전략적 선택에 동참하기 위해서는 쉽지 않은 결단이 필요한 상황이다 년 월 일 이노베이션 미국 조지아주 자동차 배터리 공장 기공식에서 주요 인사들이 긴 붓으로 느낌표에 화룡정점 하기 전 기념촬영을 하고 있다 왼쪽부터 윤예선 이노베이션 배터리사업대표 데이브 필립 포드 이사 스테판 좀머 폭스바겐 이사 윌버 로스 미국 상무장관 브라이언 켐프 조지아 주지사 최재원 수석부회장 덕 콜린스 미 연방 하원의원 톰 크로우 잭슨카운티 위원장 클락 힐 커머스시장 사진 이노베이션 제공 일례로 년 월 삼성 반도체가 준공한 중국 산시성 시안 메모리 반도체 공장도 사실 정치적 고려보다는 고객의 필요에 의한 것이 더 컸다 삼성전자가 당시 시진핑 중국 국가 주석의 고향인 시안에 낸드플래시 공장을 짓는 결정은 년 동일본 대지진 이후 안정적인 반도체 공급을 요구하는 애플 등 고객사들의 요구에 의한 것이었다 한국 내 공장만 있을 경우 혹시 발생할 지 모를 지진으로 인한 공급 차질이 발생했을 때 백업할 수 있는 한국 이외의 지역에 라인을 구축하도록 고객사들이 요구했고 그 일환으로 수요처가 있는 중국에 라인을 구축하게 된 것이다 다만 중국 내 위치를 어디로 할 것이냐의 문제에서 시진핑 주석의 고향을 선택한 것 뿐이다 고객의 요구와 정치권의 요구는 다르다는 얘기다 재계 관계자는 일 대통령 주재 반도체 전략 보고대회 에서 정부가 우리 반도체 경쟁력을 확보하기 위해서 기업이 필요로 하는 것이 무엇인지를 먼저 들여다봐야 하는 이유다 라고 말했다 오동희 산업 부 선임기자
4,2021-05-13,[코스닥 메모] (13일) 공모주청약=제주맥주(대신) 진시스템(삼성),공모주청약 제주맥주 대신 진시스템 삼성
