negative,neutral,positive
29.455295426999992,2.4333333330000007,40.124303234
30.223411368999987,2.4333333330000007,43.312709031000004
12.939179249,2.895160665,35.130429732
11.655050502,1.6515151529999996,10.303030303000002
28.46344343699999,3.931975447000001,46.309994868
32.12097514999999,4.610050068,40.894956589999985
16.759520710999997,3.0104036119999997,68.26642002999999
27.352986713999996,6.945740707,55.751873327999995
11.063888888,1.672222222,9.416666666000001
19.680588734999994,4.225102193,32.029463289
31.122100119999992,7.264957265,41.758241758
14.82051282,1.153846154,18.282051281999998
265.65695312199995,42.227640152,441.580140111
